Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 16
---
FocalIV: ad_law2
Coef: -0.010425
SE: 0.003429
pval: 0.002402
Nobs: 12554
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010425    0.003429  ... -0.017151 -0.003699
ln_at_adj             0.004623    0.004158  ... -0.003532  0.012779
ppent_at             -0.141465    0.020830  ... -0.182323 -0.100608
div_payer             0.026273    0.004545  ...  0.017359  0.035187
state_inc_growth      0.001970    0.000393  ...  0.001200  0.002741
state_id::1.0:fyear   0.001750    0.001065  ... -0.000339  0.003839
state_id::3.0:fyear   0.005155    0.007225  ... -0.009017  0.019327
state_id::4.0:fyear   0.001821    0.004564  ... -0.007132  0.010774
state_id::5.0:fyear   0.003325    0.001500  ...  0.000383  0.006267
state_id::6.0:fyear   0.001780    0.002720  ... -0.003556  0.007115
state_id::7.0:fyear   0.002067    0.001508  ... -0.000892  0.005025
state_id::10.0:fyear  0.004327    0.001904  ...  0.000592  0.008062
state_id::11.0:fyear  0.002449    0.001985  ... -0.001445  0.006344
state_id::12.0:fyear  0.025086    0.011561  ...  0.002409  0.047763
state_id::14.0:fyear  0.001743    0.001066  ... -0.000348  0.003834
state_id::15.0:fyear  0.002752    0.001762  ... -0.000705  0.006209
state_id::17.0:fyear  0.008603    0.002588  ...  0.003527  0.013680
state_id::18.0:fyear  0.002003    0.003645  ... -0.005146  0.009151
state_id::19.0:fyear -0.007452    0.004719  ... -0.016708  0.001804
state_id::21.0:fyear  0.006926    0.001729  ...  0.003535  0.010317
state_id::22.0:fyear  0.001735    0.001066  ... -0.000357  0.003826
state_id::23.0:fyear  0.002363    0.001737  ... -0.001044  0.005770
state_id::24.0:fyear  0.003456    0.001876  ... -0.000223  0.007136
state_id::25.0:fyear -0.009004    0.008584  ... -0.025842  0.007833
state_id::26.0:fyear  0.004777    0.001305  ...  0.002218  0.007336
state_id::28.0:fyear  0.032856    0.003140  ...  0.026698  0.039014
state_id::29.0:fyear -0.016933    0.003018  ... -0.022852 -0.011013
state_id::30.0:fyear  0.005843    0.002634  ...  0.000677  0.011009
state_id::31.0:fyear  0.001755    0.001065  ... -0.000335  0.003844
state_id::32.0:fyear -0.065700    0.008339  ... -0.082056 -0.049344
state_id::33.0:fyear  0.001797    0.001065  ... -0.000293  0.003887
state_id::34.0:fyear  0.000941    0.002164  ... -0.003303  0.005185
state_id::36.0:fyear  0.001698    0.001065  ... -0.000392  0.003787
state_id::38.0:fyear -0.003446    0.003988  ... -0.011268  0.004375
state_id::39.0:fyear  0.001759    0.001066  ... -0.000333  0.003850
state_id::40.0:fyear  0.010145    0.001453  ...  0.007295  0.012995
state_id::41.0:fyear  0.001203    0.001629  ... -0.001993  0.004399
state_id::43.0:fyear  0.002269    0.003487  ... -0.004571  0.009109
state_id::44.0:fyear -0.000518    0.001632  ... -0.003720  0.002684
state_id::45.0:fyear  0.008222    0.001979  ...  0.004340  0.012104
state_id::47.0:fyear  0.000798    0.002103  ... -0.003326  0.004922
state_id::48.0:fyear -0.000081    0.001397  ... -0.002820  0.002659

[42 rows x 6 columns]
