Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 10pct
Method: DL
Iteration: 12
---
FocalIV: ad_law2
Coef: -0.011477
SE: 0.003321
pval: 0.000563
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011477    0.003321  ...    -0.017992    -0.004963
ln_at_adj             0.005092    0.004266  ...    -0.003276     0.013459
ppent_at             -0.137791    0.022423  ...    -0.181772    -0.093810
div_payer             0.025960    0.004727  ...     0.016688     0.035233
state_inc_growth      0.001474    0.000325  ...     0.000837     0.002111
state_id::1.0:fyear   0.060175  966.329507  ... -1895.337531  1895.457882
state_id::3.0:fyear   0.064249  961.834941  ... -1886.517634  1886.646132
state_id::4.0:fyear   0.059564  961.156378  ... -1885.191357  1885.310485
state_id::5.0:fyear   0.061767  971.827092  ... -1906.119124  1906.242658
state_id::6.0:fyear   0.059938  976.514060  ... -1915.314160  1915.434037
state_id::7.0:fyear   0.059882  967.287313  ... -1897.216504  1897.336267
state_id::10.0:fyear  0.062548  969.144360  ... -1900.856325  1900.981420
state_id::11.0:fyear  0.060765  972.882564  ... -1908.190370  1908.311901
state_id::12.0:fyear  0.081883  956.668976  ... -1876.367267  1876.531033
state_id::14.0:fyear  0.060166  977.998049  ... -1918.224689  1918.345021
state_id::15.0:fyear  0.060747  967.625870  ... -1897.879698  1898.001192
state_id::17.0:fyear  0.065710  954.922660  ... -1872.958146  1873.089566
state_id::18.0:fyear  0.060450  965.764039  ... -1894.228124  1894.349023
state_id::19.0:fyear  0.052715  976.516037  ... -1915.325261  1915.430692
state_id::21.0:fyear  0.064978  965.579742  ... -1893.862108  1893.992064
state_id::22.0:fyear  0.060156  975.287577  ... -1912.908269  1913.028581
state_id::23.0:fyear  0.060701  970.742032  ... -1903.991909  1904.113312
state_id::24.0:fyear  0.061991  975.683518  ... -1913.683051  1913.807032
state_id::25.0:fyear  0.049737  957.976030  ... -1878.963122  1879.062596
state_id::26.0:fyear  0.063370  977.471564  ... -1917.188816  1917.315556
state_id::28.0:fyear  0.114019  957.651640  ... -1878.262569  1878.490606
state_id::29.0:fyear  0.040682  952.994213  ... -1869.200640  1869.282004
state_id::30.0:fyear  0.064221  976.790670  ... -1915.852432  1915.980874
state_id::31.0:fyear  0.060181  959.557982  ... -1882.055583  1882.175944
state_id::32.0:fyear -0.009949  958.276087  ... -1879.611352  1879.591454
state_id::33.0:fyear  0.060221  957.019597  ... -1877.076651  1877.197092
state_id::34.0:fyear  0.059494  964.429414  ... -1891.611293  1891.730280
state_id::36.0:fyear  0.060131  965.514411  ... -1893.738812  1893.859074
state_id::38.0:fyear  0.054848  951.424920  ... -1866.108399  1866.218095
state_id::39.0:fyear  0.060179  971.087915  ... -1904.670860  1904.791219
state_id::40.0:fyear  0.068421  965.527082  ... -1893.755376  1893.892217
state_id::41.0:fyear  0.059539  974.962331  ... -1912.270936  1912.390013
state_id::43.0:fyear  0.060505  958.521102  ... -1880.021479  1880.142490
state_id::44.0:fyear  0.058020  969.620569  ... -1901.794908  1901.910947
state_id::45.0:fyear  0.066783  964.485555  ... -1891.714119  1891.847686
state_id::47.0:fyear  0.059450  974.874012  ... -1912.097793  1912.216692
state_id::48.0:fyear  0.058458  980.747403  ... -1923.619092  1923.736008
state_id::50.0:fyear  0.058592  974.514437  ... -1911.393366  1911.510550

[43 rows x 6 columns]
