Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 10pct
Method: Mean
Iteration: 28
---
FocalIV: ad_law2
Coef: -0.011560
SE: 0.003473
pval: 0.000893
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011560     0.003473  ...    -0.018372    -0.004748
ln_at_adj             0.005133     0.004420  ...    -0.003537     0.013802
ppent_at             -0.137769     0.020117  ...    -0.177228    -0.098311
div_payer             0.025877     0.004398  ...     0.017250     0.034503
state_inc_growth      0.001588     0.000363  ...     0.000876     0.002300
state_id::1.0:fyear   0.185335  1648.280856  ... -3232.819278  3233.189947
state_id::3.0:fyear   0.189400  1655.694979  ... -3247.357572  3247.736371
state_id::4.0:fyear   0.184223  1646.171349  ... -3228.682717  3229.051163
state_id::5.0:fyear   0.186934  1646.009150  ... -3228.361861  3228.735730
state_id::6.0:fyear   0.185153  1664.144597  ... -3263.935240  3264.305546
state_id::7.0:fyear   0.184974  1656.318105  ... -3248.584223  3248.954170
state_id::10.0:fyear  0.187644  1664.641199  ... -3264.906806  3265.282093
state_id::11.0:fyear  0.185939  1659.094217  ... -3254.028437  3254.400314
state_id::12.0:fyear  0.206267  1682.154111  ... -3299.238716  3299.651249
state_id::14.0:fyear  0.185324  1644.394908  ... -3225.197232  3225.567880
state_id::15.0:fyear  0.186034  1644.153129  ... -3224.722287  3225.094355
state_id::17.0:fyear  0.190916  1664.267666  ... -3264.170871  3264.552702
state_id::18.0:fyear  0.185709  1650.237928  ... -3236.657583  3237.029002
state_id::19.0:fyear  0.177863  1658.229808  ... -3252.341024  3252.696750
state_id::21.0:fyear  0.190219  1655.580815  ... -3247.132826  3247.513264
state_id::22.0:fyear  0.185315  1656.797628  ... -3249.524438  3249.895067
state_id::23.0:fyear  0.185871  1659.913539  ... -3255.635554  3256.007296
state_id::24.0:fyear  0.187155  1657.592279  ... -3251.081258  3251.455567
state_id::25.0:fyear  0.175434  1661.977472  ... -3259.694274  3260.045142
state_id::26.0:fyear  0.188527  1667.950256  ... -3271.396439  3271.773493
state_id::28.0:fyear  0.239049  1664.971573  ... -3265.503410  3265.981507
state_id::29.0:fyear  0.165649  1664.077154  ... -3263.822459  3264.153756
state_id::30.0:fyear  0.189362  1643.627457  ... -3223.687886  3224.066609
state_id::31.0:fyear  0.185340  1643.598287  ... -3223.634691  3224.005372
state_id::32.0:fyear  0.115117  1656.797699  ... -3249.594774  3249.825008
state_id::33.0:fyear  0.185380  1657.239652  ... -3250.391377  3250.762136
state_id::34.0:fyear  0.184746  1655.664581  ... -3247.302601  3247.672094
state_id::36.0:fyear  0.185288  1655.718055  ... -3247.406947  3247.777523
state_id::38.0:fyear  0.179965  1679.636165  ... -3294.326215  3294.686145
state_id::39.0:fyear  0.185338  1646.550899  ... -3229.426066  3229.796742
state_id::40.0:fyear  0.193529  1662.969624  ... -3261.622226  3262.009283
state_id::41.0:fyear  0.184603  1649.852797  ... -3235.903276  3236.272483
state_id::43.0:fyear  0.185663  1652.392411  ... -3240.883518  3241.254843
state_id::44.0:fyear  0.183170  1654.824661  ... -3245.656726  3246.023065
state_id::45.0:fyear  0.191858  1655.149999  ... -3246.286169  3246.669885
state_id::47.0:fyear  0.184600  1643.824276  ... -3224.078696  3224.447897
state_id::48.0:fyear  0.183512  1660.954485  ... -3257.679668  3258.046691
state_id::50.0:fyear  0.183800  1655.837912  ... -3247.643526  3248.011126

[43 rows x 6 columns]
