Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 1pct
Method: Iter
Iteration: 14
---
FocalIV: ad_law2
Coef: -0.012270
SE: 0.004457
pval: 0.005969
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate    Std. Error  ...          2.5%         97.5%
Coefficient                                   ...                            
ad_law2              -0.012270      0.004457  ...     -0.021012     -0.003528
ln_at_adj             0.006074           NaN  ...           NaN           NaN
ppent_at             -0.083782      0.010709  ...     -0.104787     -0.062777
div_payer             0.031717           NaN  ...           NaN           NaN
state_inc_growth      0.002015      0.000404  ...      0.001222      0.002809
state_id::1.0:fyear   0.083593  17997.324697  ... -35299.903081  35300.070267
state_id::3.0:fyear   0.087408  18024.579848  ... -35353.357570  35353.532387
state_id::4.0:fyear   0.082330  18068.799518  ... -35440.095193  35440.259854
state_id::5.0:fyear   0.085211  17926.740650  ... -35161.457779  35161.628201
state_id::6.0:fyear   0.084232  18011.224777  ... -35327.166086  35327.334549
state_id::7.0:fyear   0.083571  17941.638084  ... -35190.679275  35190.846417
state_id::10.0:fyear  0.085837  18033.375577  ... -35370.611101  35370.782775
state_id::11.0:fyear  0.083630  17987.814267  ... -35281.249268  35281.416528
state_id::12.0:fyear  0.105492  18180.879010  ... -35659.904957  35660.115941
state_id::14.0:fyear  0.083578  17934.588832  ... -35176.852852  35177.020009
state_id::15.0:fyear  0.084027  17963.868016  ... -35234.280649  35234.448703
state_id::17.0:fyear  0.089653  17991.992521  ... -35289.438481  35289.617786
state_id::18.0:fyear  0.083426  17998.895023  ... -35302.983288  35303.150140
state_id::19.0:fyear  0.076736  17953.968006  ... -35214.870042  35215.023514
state_id::21.0:fyear  0.088982  17956.212409  ... -35219.259972  35219.437936
state_id::22.0:fyear  0.083568  18066.750268  ... -35436.074552  35436.241689
state_id::23.0:fyear  0.084306  17953.015157  ... -35212.993551  35213.162164
state_id::24.0:fyear  0.085696  17893.351238  ... -35095.967239  35096.138631
state_id::25.0:fyear  0.074391  18010.229450  ... -35325.223690  35325.372471
state_id::26.0:fyear  0.087100  17970.341106  ... -35246.973908  35247.148108
state_id::28.0:fyear  0.136197  17972.693495  ... -35251.538790  35251.811185
state_id::29.0:fyear  0.065291  17980.784291  ... -35267.479000  35267.609581
state_id::30.0:fyear  0.087172  18038.822984  ... -35381.294321  35381.468665
state_id::31.0:fyear  0.083600  17935.474146  ... -35178.589287  35178.756486
state_id::32.0:fyear  0.003662  18129.826952  ... -35559.873185  35559.880508
state_id::33.0:fyear  0.083635  17960.602975  ... -35227.876984  35228.044255
state_id::34.0:fyear  0.083059  17951.216885  ... -35209.467666  35209.633784
state_id::36.0:fyear  0.083561  18033.015464  ... -35369.907051  35370.074173
state_id::38.0:fyear  0.094749  17894.684752  ... -35098.573743  35098.763242
state_id::39.0:fyear  0.083606  18010.704380  ... -35326.146004  35326.313216
state_id::40.0:fyear  0.091944  17916.206451  ... -35140.789248  35140.973137
state_id::41.0:fyear  0.082822  18108.750534  ... -35518.454699  35518.620342
state_id::43.0:fyear  0.083204  17990.607627  ... -35286.728596  35286.895005
state_id::44.0:fyear  0.081208  17857.280858  ... -35025.223216  35025.385631
state_id::45.0:fyear  0.089653  18033.262203  ... -35370.384913  35370.564219
state_id::47.0:fyear  0.082618  18167.167729  ... -35633.034500  35633.199736
state_id::48.0:fyear  0.081682  18082.247594  ... -35466.472923  35466.636286
state_id::50.0:fyear  0.081589  17925.410697  ... -35158.852829  35159.016007

[43 rows x 6 columns]
