Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 1pct
Method: Iter
Iteration: 0
---
FocalIV: ad_law2
Coef: -0.011884
SE: 0.003394
pval: 0.000475
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011884    0.003394  ... -0.018541 -0.005228
ln_at_adj             0.004859    0.004023  ... -0.003032  0.012751
ppent_at             -0.120749    0.019332  ... -0.158666 -0.082832
div_payer             0.029502    0.004606  ...  0.020468  0.038536
state_inc_growth      0.001744    0.000385  ...  0.000988  0.002500
state_id::1.0:fyear   0.002165    0.001132  ... -0.000056  0.004386
state_id::3.0:fyear   0.005783    0.007742  ... -0.009402  0.020967
state_id::4.0:fyear   0.001246    0.005033  ... -0.008625  0.011117
state_id::5.0:fyear   0.003924    0.001541  ...  0.000901  0.006946
state_id::6.0:fyear   0.002846    0.002763  ... -0.002572  0.008265
state_id::7.0:fyear   0.001963    0.001597  ... -0.001170  0.005096
state_id::10.0:fyear  0.005075    0.001849  ...  0.001449  0.008701
state_id::11.0:fyear  0.002571    0.001971  ... -0.001296  0.006438
state_id::12.0:fyear  0.023715    0.011025  ...  0.002090  0.045340
state_id::14.0:fyear  0.002154    0.001133  ... -0.000068  0.004377
state_id::15.0:fyear  0.002855    0.001709  ... -0.000497  0.006208
state_id::17.0:fyear  0.007963    0.003133  ...  0.001818  0.014108
state_id::18.0:fyear  0.002090    0.003748  ... -0.005261  0.009441
state_id::19.0:fyear -0.005872    0.004649  ... -0.014991  0.003247
state_id::21.0:fyear  0.008249    0.001948  ...  0.004429  0.012069
state_id::22.0:fyear  0.002145    0.001133  ... -0.000078  0.004368
state_id::23.0:fyear  0.002939    0.001755  ... -0.000502  0.006381
state_id::24.0:fyear  0.004161    0.001884  ...  0.000467  0.007856
state_id::25.0:fyear -0.007689    0.008464  ... -0.024289  0.008912
state_id::26.0:fyear  0.005420    0.001361  ...  0.002750  0.008090
state_id::28.0:fyear  0.056461    0.011627  ...  0.033657  0.079265
state_id::29.0:fyear -0.016829    0.003198  ... -0.023101 -0.010558
state_id::30.0:fyear  0.005951    0.002539  ...  0.000971  0.010931
state_id::31.0:fyear  0.002172    0.001133  ... -0.000050  0.004393
state_id::32.0:fyear -0.068664    0.007859  ... -0.084078 -0.053249
state_id::33.0:fyear  0.002210    0.001133  ... -0.000012  0.004431
state_id::34.0:fyear  0.001552    0.002291  ... -0.002941  0.006045
state_id::36.0:fyear  0.002131    0.001133  ... -0.000091  0.004353
state_id::38.0:fyear  0.013574    0.004916  ...  0.003932  0.023216
state_id::39.0:fyear  0.002180    0.001133  ... -0.000043  0.004403
state_id::40.0:fyear  0.010373    0.001490  ...  0.007450  0.013296
state_id::41.0:fyear  0.001375    0.001835  ... -0.002224  0.004975
state_id::43.0:fyear  0.002094    0.003526  ... -0.004821  0.009010
state_id::44.0:fyear -0.000270    0.001641  ... -0.003489  0.002950
state_id::45.0:fyear  0.008288    0.002088  ...  0.004192  0.012383
state_id::47.0:fyear  0.001279    0.002120  ... -0.002880  0.005438
state_id::48.0:fyear  0.000618    0.001628  ... -0.002575  0.003811

[42 rows x 6 columns]
