Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 1pct
Method: RF
Iteration: 16
---
FocalIV: ad_law2
Coef: -0.011070
SE: 0.003520
pval: 0.001693
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011070     0.003520  ...    -0.017975    -0.004165
ln_at_adj             0.005225     0.004300  ...    -0.003210     0.013661
ppent_at             -0.138325     0.019105  ...    -0.175798    -0.100852
div_payer             0.025911     0.004573  ...     0.016941     0.034882
state_inc_growth      0.001813     0.000375  ...     0.001077     0.002549
state_id::1.0:fyear   0.077555  1274.757643  ... -2500.283549  2500.438658
state_id::3.0:fyear   0.081685  1283.325435  ... -2517.084631  2517.248001
state_id::4.0:fyear   0.076898  1263.004861  ... -2477.231823  2477.385620
state_id::5.0:fyear   0.079063  1291.098428  ... -2532.333515  2532.491640
state_id::6.0:fyear   0.077499  1282.435635  ... -2515.343528  2515.498525
state_id::7.0:fyear   0.077424  1287.215203  ... -2524.718440  2524.873289
state_id::10.0:fyear  0.079858  1272.566883  ... -2495.984198  2496.143915
state_id::11.0:fyear  0.078284  1269.502152  ... -2489.974486  2490.131053
state_id::12.0:fyear  0.099461  1282.723654  ... -2515.886496  2516.085418
state_id::14.0:fyear  0.077545  1271.778815  ... -2494.440765  2494.595855
state_id::15.0:fyear  0.078327  1279.090543  ... -2508.781501  2508.938155
state_id::17.0:fyear  0.083129  1256.607559  ... -2464.677667  2464.843926
state_id::18.0:fyear  0.077902  1287.641600  ... -2525.554314  2525.710119
state_id::19.0:fyear  0.070001  1263.817069  ... -2478.831818  2478.971820
state_id::21.0:fyear  0.082556  1283.267594  ... -2516.970308  2517.135420
state_id::22.0:fyear  0.077535  1272.851707  ... -2496.545187  2496.700257
state_id::23.0:fyear  0.078147  1297.791122  ... -2545.461751  2545.618045
state_id::24.0:fyear  0.079239  1276.592382  ... -2503.880594  2504.039072
state_id::25.0:fyear  0.066820  1324.246000  ... -2597.362745  2597.496384
state_id::26.0:fyear  0.080670  1281.084320  ... -2512.689831  2512.851171
state_id::28.0:fyear  0.132673  1302.702742  ... -2555.041076  2555.306421
state_id::29.0:fyear  0.058623  1268.045150  ... -2487.136325  2487.253572
state_id::30.0:fyear  0.081575  1265.064773  ... -2481.267540  2481.430691
state_id::31.0:fyear  0.077560  1282.797178  ... -2516.052612  2516.207732
state_id::32.0:fyear  0.008214  1305.096595  ... -2559.860934  2559.877361
state_id::33.0:fyear  0.077600  1253.404653  ... -2458.400887  2458.556087
state_id::34.0:fyear  0.076962  1297.336334  ... -2544.570897  2544.724822
state_id::36.0:fyear  0.077507  1261.660937  ... -2474.595187  2474.750202
state_id::38.0:fyear  0.072302  1308.681610  ... -2566.828639  2566.973243
state_id::39.0:fyear  0.077558  1266.419867  ... -2483.929493  2484.084610
state_id::40.0:fyear  0.085744  1273.079527  ... -2496.983834  2497.155321
state_id::41.0:fyear  0.076800  1278.438282  ... -2507.503658  2507.657257
state_id::43.0:fyear  0.077840  1259.677983  ... -2470.705408  2470.861088
state_id::44.0:fyear  0.075266  1310.401118  ... -2570.198387  2570.348920
state_id::45.0:fyear  0.084069  1296.075666  ... -2542.091064  2542.259202
state_id::47.0:fyear  0.076716  1283.169217  ... -2516.783188  2516.936621
state_id::48.0:fyear  0.075769  1285.866142  ... -2522.073992  2522.225530
state_id::50.0:fyear  0.075984  1291.548763  ... -2533.219900  2533.371868

[43 rows x 6 columns]
