Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 1pct
Method: RF
Iteration: 5
---
FocalIV: ad_law2
Coef: -0.011140
SE: 0.003422
pval: 0.001157
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...          2.5%     97.5%
Coefficient                                 ...                        
ad_law2              -0.011140    0.003422  ... -1.785246e-02 -0.004427
ln_at_adj             0.005230    0.004141  ... -2.892625e-03  0.013352
ppent_at             -0.138173    0.020533  ... -1.784463e-01 -0.097899
div_payer             0.025965    0.004569  ...  1.700367e-02  0.034927
state_inc_growth      0.001953    0.000367  ...  1.232339e-03  0.002673
state_id::1.0:fyear   0.001555    0.001125  ... -6.514475e-04  0.003760
state_id::3.0:fyear   0.005561    0.007899  ... -9.933104e-03  0.021055
state_id::4.0:fyear   0.000895    0.004901  ... -8.717524e-03  0.010509
state_id::5.0:fyear   0.003079    0.001541  ...  5.717443e-05  0.006101
state_id::6.0:fyear   0.001482    0.002731  ... -3.874393e-03  0.006838
state_id::7.0:fyear   0.001430    0.001594  ... -1.696227e-03  0.004556
state_id::10.0:fyear  0.003843    0.001960  ... -9.714366e-07  0.007688
state_id::11.0:fyear  0.002266    0.001971  ... -1.601095e-03  0.006132
state_id::12.0:fyear  0.023588    0.011277  ...  1.468721e-03  0.045707
state_id::14.0:fyear  0.001545    0.001126  ... -6.626227e-04  0.003753
state_id::15.0:fyear  0.002326    0.001713  ... -1.032953e-03  0.005685
state_id::17.0:fyear  0.007535    0.003075  ...  1.504138e-03  0.013567
state_id::18.0:fyear  0.001932    0.003758  ... -5.438259e-03  0.009303
state_id::19.0:fyear -0.006003    0.004546  ... -1.491871e-02  0.002913
state_id::21.0:fyear  0.006518    0.001673  ...  3.236585e-03  0.009799
state_id::22.0:fyear  0.001535    0.001126  ... -6.735643e-04  0.003743
state_id::23.0:fyear  0.002159    0.001778  ... -1.328031e-03  0.005646
state_id::24.0:fyear  0.003308    0.001878  ... -3.748123e-04  0.006990
state_id::25.0:fyear -0.009228    0.008584  ... -2.606460e-02  0.007608
state_id::26.0:fyear  0.004678    0.001392  ...  1.948727e-03  0.007408
state_id::28.0:fyear  0.056878    0.011555  ...  3.421279e-02  0.079543
state_id::29.0:fyear -0.017162    0.003033  ... -2.311066e-02 -0.011214
state_id::30.0:fyear  0.005576    0.002562  ...  5.502442e-04  0.010602
state_id::31.0:fyear  0.001560    0.001125  ... -6.469225e-04  0.003766
state_id::32.0:fyear -0.067626    0.008193  ... -8.369685e-02 -0.051555
state_id::33.0:fyear  0.001600    0.001125  ... -6.070373e-04  0.003806
state_id::34.0:fyear  0.000947    0.002287  ... -3.538159e-03  0.005432
state_id::36.0:fyear  0.001507    0.001125  ... -6.995303e-04  0.003713
state_id::38.0:fyear -0.003686    0.004007  ... -1.154616e-02  0.004175
state_id::39.0:fyear  0.001558    0.001126  ... -6.502316e-04  0.003766
state_id::40.0:fyear  0.009846    0.001521  ...  6.863260e-03  0.012829
state_id::41.0:fyear  0.000917    0.001806  ... -2.625808e-03  0.004459
state_id::43.0:fyear  0.001885    0.003531  ... -5.040428e-03  0.008811
state_id::44.0:fyear -0.000736    0.001680  ... -4.031560e-03  0.002560
state_id::45.0:fyear  0.008045    0.002086  ...  3.953320e-03  0.012137
state_id::47.0:fyear  0.000813    0.002112  ... -3.330354e-03  0.004956
state_id::48.0:fyear -0.000286    0.001445  ... -3.121059e-03  0.002549

[42 rows x 6 columns]
