Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 1pct
Method: Reg
Iteration: 19
---
FocalIV: ad_law2
Coef: -0.011109
SE: 0.003313
pval: 0.000818
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011109     0.003313  ...    -0.017608    -0.004610
ln_at_adj             0.005124     0.003986  ...    -0.002693     0.012942
ppent_at             -0.137977     0.019572  ...    -0.176366    -0.099588
div_payer             0.025875     0.004659  ...     0.016735     0.035014
state_inc_growth      0.001893     0.000368  ...     0.001171     0.002614
state_id::1.0:fyear   0.236096  1256.623902  ... -2464.556755  2465.028946
state_id::3.0:fyear   0.240234  1293.163199  ... -2536.222270  2536.702738
state_id::4.0:fyear   0.235159  1303.226866  ... -2555.966627  2556.436944
state_id::5.0:fyear   0.237612  1277.062854  ... -2504.645025  2505.120248
state_id::6.0:fyear   0.236050  1261.048344  ... -2473.235081  2473.707180
state_id::7.0:fyear   0.235992  1274.967080  ... -2500.535908  2501.007892
state_id::10.0:fyear  0.238397  1284.148354  ... -2518.542024  2519.018819
state_id::11.0:fyear  0.236810  1288.981315  ... -2528.023177  2528.496798
state_id::12.0:fyear  0.256844  1303.637342  ... -2556.750067  2557.263755
state_id::14.0:fyear  0.236086  1287.966044  ... -2526.032507  2526.504679
state_id::15.0:fyear  0.236819  1294.219297  ... -2538.297157  2538.770794
state_id::17.0:fyear  0.242005  1275.572889  ... -2501.718154  2502.202165
state_id::18.0:fyear  0.236393  1266.044930  ... -2483.035244  2483.508029
state_id::19.0:fyear  0.228543  1294.396259  ... -2538.652534  2539.109620
state_id::21.0:fyear  0.241043  1269.167677  ... -2489.155674  2489.637761
state_id::22.0:fyear  0.236076  1271.312768  ... -2493.368110  2493.840261
state_id::23.0:fyear  0.236647  1253.672751  ... -2458.767699  2459.240992
state_id::24.0:fyear  0.237828  1314.447197  ... -2577.971969  2578.447625
state_id::25.0:fyear  0.225311  1214.544482  ... -2382.031267  2382.481889
state_id::26.0:fyear  0.239207  1296.623257  ... -2543.009995  2543.488408
state_id::28.0:fyear  0.291343  1260.328947  ... -2471.768733  2472.351420
state_id::29.0:fyear  0.217291  1335.194319  ... -2618.686748  2619.121331
state_id::30.0:fyear  0.240135  1328.030317  ... -2604.612141  2605.092412
state_id::31.0:fyear  0.236101  1275.559137  ... -2501.697084  2502.169286
state_id::32.0:fyear  0.166678  1234.301981  ... -2420.843057  2421.176412
state_id::33.0:fyear  0.236141  1258.552904  ... -2468.340333  2468.812614
state_id::34.0:fyear  0.235454  1312.711975  ... -2574.570809  2575.041716
state_id::36.0:fyear  0.236048  1288.962713  ... -2527.987453  2528.459549
state_id::38.0:fyear  0.230849  1218.749129  ... -2390.272894  2390.734593
state_id::39.0:fyear  0.236099  1244.175501  ... -2440.139955  2440.612154
state_id::40.0:fyear  0.244275  1259.576734  ... -2470.340380  2470.828930
state_id::41.0:fyear  0.235510  1243.456645  ... -2438.730552  2439.201572
state_id::43.0:fyear  0.236446  1294.831021  ... -2539.497391  2539.970283
state_id::44.0:fyear  0.233804  1266.789396  ... -2484.498057  2484.965665
state_id::45.0:fyear  0.242608  1254.851587  ... -2461.073953  2461.559169
state_id::47.0:fyear  0.235313  1281.181224  ... -2512.725261  2513.195888
state_id::48.0:fyear  0.234247  1232.209228  ... -2416.670676  2417.139170
state_id::50.0:fyear  0.234502  1272.784655  ... -2496.256703  2496.725707

[43 rows x 6 columns]
