Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 20pct
Method: Iter
Iteration: 1
---
FocalIV: ad_law2
Coef: -0.011693
SE: 0.003370
pval: 0.000534
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011693    0.003370  ... -0.018303 -0.005083
ln_at_adj            -0.000268    0.000664  ... -0.001569  0.001034
ppent_at             -0.130888    0.020096  ... -0.170305 -0.091472
div_payer             0.029437    0.004521  ...  0.020570  0.038305
state_inc_growth      0.001865    0.000385  ...  0.001111  0.002619
state_id::1.0:fyear   0.001631    0.001085  ... -0.000498  0.003760
state_id::3.0:fyear   0.005588    0.008005  ... -0.010113  0.021290
state_id::4.0:fyear   0.001024    0.004899  ... -0.008585  0.010633
state_id::5.0:fyear   0.003669    0.001485  ...  0.000755  0.006582
state_id::6.0:fyear   0.001704    0.002644  ... -0.003483  0.006890
state_id::7.0:fyear   0.001553    0.001567  ... -0.001521  0.004627
state_id::10.0:fyear  0.004668    0.001891  ...  0.000959  0.008376
state_id::11.0:fyear  0.002321    0.001925  ... -0.001455  0.006097
state_id::12.0:fyear  0.023638    0.011046  ...  0.001973  0.045304
state_id::14.0:fyear  0.001620    0.001086  ... -0.000511  0.003751
state_id::15.0:fyear  0.002347    0.001678  ... -0.000945  0.005639
state_id::17.0:fyear  0.007638    0.003124  ...  0.001510  0.013766
state_id::18.0:fyear  0.001823    0.003645  ... -0.005327  0.008973
state_id::19.0:fyear -0.005325    0.004385  ... -0.013926  0.003276
state_id::21.0:fyear  0.006527    0.001658  ...  0.003275  0.009779
state_id::22.0:fyear  0.001609    0.001087  ... -0.000522  0.003740
state_id::23.0:fyear  0.002191    0.001754  ... -0.001249  0.005630
state_id::24.0:fyear  0.003551    0.001860  ... -0.000098  0.007199
state_id::25.0:fyear -0.008961    0.008388  ... -0.025413  0.007492
state_id::26.0:fyear  0.005409    0.001396  ...  0.002670  0.008147
state_id::28.0:fyear  0.058225    0.012126  ...  0.034441  0.082008
state_id::29.0:fyear -0.017652    0.003200  ... -0.023930 -0.011375
state_id::30.0:fyear  0.005688    0.002689  ...  0.000414  0.010963
state_id::31.0:fyear  0.001638    0.001086  ... -0.000492  0.003767
state_id::32.0:fyear -0.066364    0.008286  ... -0.082617 -0.050112
state_id::33.0:fyear  0.001676    0.001086  ... -0.000453  0.003806
state_id::34.0:fyear  0.000754    0.002215  ... -0.003590  0.005098
state_id::36.0:fyear  0.001601    0.001086  ... -0.000529  0.003731
state_id::38.0:fyear  0.011119    0.003603  ...  0.004051  0.018186
state_id::39.0:fyear  0.001649    0.001087  ... -0.000482  0.003780
state_id::40.0:fyear  0.009707    0.001447  ...  0.006868  0.012545
state_id::41.0:fyear  0.000886    0.001726  ... -0.002498  0.004271
state_id::43.0:fyear  0.001741    0.003347  ... -0.004825  0.008306
state_id::44.0:fyear -0.000536    0.001618  ... -0.003711  0.002638
state_id::45.0:fyear  0.007708    0.002023  ...  0.003740  0.011676
state_id::47.0:fyear  0.000819    0.002103  ... -0.003306  0.004944
state_id::48.0:fyear -0.000214    0.001461  ... -0.003079  0.002651

[42 rows x 6 columns]
