Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 20pct
Method: Reg
Iteration: 11
---
FocalIV: ad_law2
Coef: -0.011950
SE: 0.003606
pval: 0.000939
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011950     0.003606  ...    -0.019023    -0.004878
ln_at_adj             0.003983     0.003923  ...    -0.003712     0.011679
ppent_at             -0.013572     0.006430  ...    -0.026184    -0.000960
div_payer             0.026944     0.004677  ...     0.017771     0.036117
state_inc_growth      0.002077     0.000393  ...     0.001307     0.002848
state_id::1.0:fyear   0.040069  2962.974324  ... -5811.651947  5811.732085
state_id::3.0:fyear   0.043925  2958.600744  ... -5803.069582  5803.157432
state_id::4.0:fyear   0.040050  3002.902389  ... -5889.968410  5890.048511
state_id::5.0:fyear   0.041688  2973.389752  ... -5832.079550  5832.162925
state_id::6.0:fyear   0.039793  2983.390962  ... -5851.698203  5851.777789
state_id::7.0:fyear   0.040128  3000.058686  ... -5884.390584  5884.470840
state_id::10.0:fyear  0.041981  2951.775207  ... -5789.683654  5789.767617
state_id::11.0:fyear  0.039709  2975.967526  ... -5837.137673  5837.217092
state_id::12.0:fyear  0.060138  2951.220936  ... -5788.578329  5788.698606
state_id::14.0:fyear  0.040041  2964.622933  ... -5814.885619  5814.965701
state_id::15.0:fyear  0.040742  2983.072282  ... -5851.072183  5851.153668
state_id::17.0:fyear  0.046622  3001.286864  ... -5886.793086  5886.886329
state_id::18.0:fyear  0.039599  2995.004124  ... -5874.476901  5874.556098
state_id::19.0:fyear  0.033028  2952.949182  ... -5791.995288  5792.061343
state_id::21.0:fyear  0.044477  2968.463779  ... -5822.414767  5822.503721
state_id::22.0:fyear  0.040027  2971.277477  ... -5827.938113  5828.018167
state_id::23.0:fyear  0.040985  2959.745210  ... -5805.317322  5805.399291
state_id::24.0:fyear  0.042610  2969.721640  ... -5824.883851  5824.969070
state_id::25.0:fyear  0.030561  2962.752037  ... -5811.225453  5811.286574
state_id::26.0:fyear  0.043456  2999.848442  ... -5883.974877  5884.061788
state_id::28.0:fyear  0.089595  2977.571673  ... -5840.234224  5840.413414
state_id::29.0:fyear  0.023609  2953.789385  ... -5793.652713  5793.699931
state_id::30.0:fyear  0.043903  3021.325529  ... -5926.100415  5926.188222
state_id::31.0:fyear  0.040075  3008.746245  ... -5901.430749  5901.510900
state_id::32.0:fyear -0.074163  2948.341486  ... -5783.064766  5782.916440
state_id::33.0:fyear  0.040105  2979.320830  ... -5843.714579  5843.794788
state_id::34.0:fyear  0.039910  2979.758050  ... -5844.572353  5844.652172
state_id::36.0:fyear  0.040010  2986.158482  ... -5857.126306  5857.206326
state_id::38.0:fyear  0.037874  2929.842409  ... -5746.667927  5746.743674
state_id::39.0:fyear  0.040057  2958.328822  ... -5802.540091  5802.620206
state_id::40.0:fyear  0.049009  3006.968855  ... -5897.935574  5898.033593
state_id::41.0:fyear  0.039812  2950.816520  ... -5787.805418  5787.885043
state_id::43.0:fyear  0.040114  2954.037797  ... -5794.123454  5794.203682
state_id::44.0:fyear  0.037656  2964.353620  ... -5814.359764  5814.435077
state_id::45.0:fyear  0.046456  2999.722383  ... -5883.724618  5883.817531
state_id::47.0:fyear  0.039236  2964.964706  ... -5815.556792  5815.635263
state_id::48.0:fyear  0.038067  2969.743387  ... -5824.931050  5825.007184
state_id::50.0:fyear  0.038898  2973.260322  ... -5831.828470  5831.906266

[43 rows x 6 columns]
