Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 30pct
Method: Reg
Iteration: 4
---
FocalIV: ad_law2
Coef: -0.011870
SE: 0.003246
pval: 0.000264
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011870    0.003246  ...    -0.018238    -0.005503
ln_at_adj             0.003950    0.004262  ...    -0.004408     0.012309
ppent_at             -0.009620    0.005581  ...    -0.020566     0.001326
div_payer             0.027029    0.004619  ...     0.017968     0.036089
state_inc_growth      0.002067    0.000391  ...     0.001300     0.002835
state_id::1.0:fyear   0.045553  496.122522  ...  -973.068280   973.159387
state_id::3.0:fyear   0.049349  524.002152  ... -1027.748664  1027.847362
state_id::4.0:fyear   0.045430  490.988470  ...  -962.998274   963.089135
state_id::5.0:fyear   0.047152  537.011804  ... -1053.268494  1053.362799
state_id::6.0:fyear   0.045250  406.032184  ...  -796.361922   796.452422
state_id::7.0:fyear   0.045623  486.578990  ...  -954.349157   954.440404
state_id::10.0:fyear  0.047473  499.399607  ...  -979.494161   979.589107
state_id::11.0:fyear  0.045194  475.434445  ...  -932.490247   932.580636
state_id::12.0:fyear  0.066662  473.316807  ...  -928.315163   928.448486
state_id::14.0:fyear  0.045525  484.881224  ...  -951.019192   951.110242
state_id::15.0:fyear  0.046266  496.222257  ...  -973.263191   973.355722
state_id::17.0:fyear  0.052114  481.418781  ...  -944.221233   944.325462
state_id::18.0:fyear  0.045093  504.268875  ...  -989.047311   989.137496
state_id::19.0:fyear  0.038522  428.260771  ...  -839.968656   840.045701
state_id::21.0:fyear  0.049932  519.588022  ... -1019.090037  1019.189901
state_id::22.0:fyear  0.045511  512.736770  ... -1005.656148  1005.747170
state_id::23.0:fyear  0.046481  515.130714  ... -1010.350751  1010.443713
state_id::24.0:fyear  0.048118  513.001043  ... -1006.171896  1006.268132
state_id::25.0:fyear  0.036333  489.324904  ...  -959.744390   959.817056
state_id::26.0:fyear  0.048913  530.183361  ... -1039.873161  1039.970987
state_id::28.0:fyear  0.095398  445.519133  ...  -873.762998   873.953794
state_id::29.0:fyear  0.029061  531.462317  ... -1042.401607  1042.459729
state_id::30.0:fyear  0.049406  352.854527  ...  -692.053060   692.151872
state_id::31.0:fyear  0.045560  509.371448  ...  -999.055227   999.146347
state_id::32.0:fyear -0.066400  442.474877  ...  -867.953674   867.820873
state_id::33.0:fyear  0.045589  509.598738  ...  -999.501013   999.592191
state_id::34.0:fyear  0.045418  459.465307  ...  -901.167541   901.258377
state_id::36.0:fyear  0.045494  470.995889  ...  -923.783992   923.874981
state_id::38.0:fyear  0.043399  431.851597  ...  -847.006965   847.093763
state_id::39.0:fyear  0.045541  518.578875  ... -1017.115048  1017.206130
state_id::40.0:fyear  0.054496  503.520081  ...  -987.569195   987.678187
state_id::41.0:fyear  0.045350  405.158260  ...  -794.647675   794.738374
state_id::43.0:fyear  0.045562  446.394093  ...  -875.529014   875.620138
state_id::44.0:fyear  0.043157  431.658437  ...  -846.628336   846.714650
state_id::45.0:fyear  0.052145  446.168532  ...  -875.080007   875.184298
state_id::47.0:fyear  0.044808  491.948141  ...  -964.881232   964.970848
state_id::48.0:fyear  0.043480  437.125857  ...  -857.352021   857.438981
state_id::50.0:fyear  0.044401  471.078896  ...  -923.947899   924.036701

[43 rows x 6 columns]
