Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 40pct
Method: DL
Iteration: 12
---
FocalIV: ad_law2
Coef: -0.011898
SE: 0.003791
pval: 0.001729
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011898     0.003791  ...    -0.019333    -0.004462
ln_at_adj             0.003984     0.003664  ...    -0.003204     0.011171
ppent_at              0.001701          NaN  ...          NaN          NaN
div_payer             0.027046     0.005004  ...     0.017231     0.036861
state_inc_growth      0.002068     0.000389  ...     0.001304     0.002832
state_id::1.0:fyear   0.055346  3510.561335  ... -6885.694934  6885.805627
state_id::3.0:fyear   0.059162  3349.690345  ... -6570.152559  6570.270884
state_id::4.0:fyear   0.055360  3471.128688  ... -6808.350206  6808.460927
state_id::5.0:fyear   0.056956  3357.118532  ... -6584.724697  6584.838608
state_id::6.0:fyear   0.055083  3518.144298  ... -6900.568714  6900.678879
state_id::7.0:fyear   0.055414  3415.226831  ... -6698.702096  6698.812923
state_id::10.0:fyear  0.057294  3358.024948  ... -6586.502239  6586.616827
state_id::11.0:fyear  0.054957  3394.034116  ... -6657.134346  6657.244260
state_id::12.0:fyear  0.076035  3279.717375  ... -6432.888006  6433.040077
state_id::14.0:fyear  0.055316  3430.103789  ... -6727.882433  6727.993066
state_id::15.0:fyear  0.056100  3494.517228  ... -6854.224649  6854.336850
state_id::17.0:fyear  0.061919  3201.474933  ... -6279.434383  6279.558220
state_id::18.0:fyear  0.054911  3275.738955  ... -6425.105704  6425.215526
state_id::19.0:fyear  0.048283  3632.442305  ... -7124.764029  7124.860595
state_id::21.0:fyear  0.059662  3482.052412  ... -6829.772118  6829.891442
state_id::22.0:fyear  0.055302  3462.534585  ... -6791.493459  6791.604063
state_id::23.0:fyear  0.056282  3412.645657  ... -6693.638413  6693.750977
state_id::24.0:fyear  0.057938  3346.901509  ... -6564.683652  6564.799528
state_id::25.0:fyear  0.046035  3367.569101  ... -6605.233767  6605.325837
state_id::26.0:fyear  0.058749  3305.831752  ... -6484.127038  6484.244536
state_id::28.0:fyear  0.104432  3188.141047  ... -6253.238270  6253.447135
state_id::29.0:fyear  0.038811  3475.006584  ... -6815.973011  6816.050633
state_id::30.0:fyear  0.059194  3254.619152  ... -6383.676226  6383.794615
state_id::31.0:fyear  0.055353  3535.608275  ... -6934.822961  6934.933666
state_id::32.0:fyear -0.057721  3287.888542  ... -6449.049005  6448.933562
state_id::33.0:fyear  0.055381  3482.220357  ... -6830.105813  6830.216575
state_id::34.0:fyear  0.055220  3358.845134  ... -6588.113056  6588.223497
state_id::36.0:fyear  0.055286  3420.268269  ... -6708.590694  6708.701266
state_id::38.0:fyear  0.053330  3400.318705  ... -6669.462808  6669.569468
state_id::39.0:fyear  0.055333  3572.562793  ... -7007.306997  7007.417663
state_id::40.0:fyear  0.064335  3263.623090  ... -6401.331756  6401.460426
state_id::41.0:fyear  0.055167  3413.059243  ... -6694.450753  6694.561087
state_id::43.0:fyear  0.055380  3406.384148  ... -6681.357751  6681.468512
state_id::44.0:fyear  0.052978  3357.684951  ... -6585.839672  6585.945628
state_id::45.0:fyear  0.061829  3280.981647  ... -6435.382005  6435.505663
state_id::47.0:fyear  0.054622  3237.822167  ... -6350.734544  6350.843788
state_id::48.0:fyear  0.053302  3510.465955  ... -6885.509897  6885.616501
state_id::50.0:fyear  0.054203  3263.871419  ... -6401.828971  6401.937377

[43 rows x 6 columns]
