Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 40pct
Method: Iter
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.010908
SE: 0.003423
pval: 0.001466
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010908    0.003423  ... -0.017622 -0.004194
ln_at_adj             0.003708    0.004019  ... -0.004175  0.011591
ppent_at              0.001534    0.006453  ... -0.011124  0.014191
div_payer             0.031058    0.004737  ...  0.021767  0.040349
state_inc_growth      0.002094    0.000397  ...  0.001317  0.002872
state_id::1.0:fyear   0.001561    0.001111  ... -0.000618  0.003740
state_id::3.0:fyear   0.005284    0.007436  ... -0.009301  0.019869
state_id::4.0:fyear   0.001312    0.005576  ... -0.009625  0.012250
state_id::5.0:fyear   0.003142    0.001542  ...  0.000117  0.006166
state_id::6.0:fyear   0.001518    0.002842  ... -0.004056  0.007091
state_id::7.0:fyear   0.001950    0.001612  ... -0.001212  0.005112
state_id::10.0:fyear  0.003741    0.001994  ... -0.000171  0.007653
state_id::11.0:fyear  0.001092    0.002000  ... -0.002831  0.005015
state_id::12.0:fyear  0.022129    0.011444  ... -0.000317  0.044575
state_id::14.0:fyear  0.001532    0.001112  ... -0.000648  0.003712
state_id::15.0:fyear  0.002165    0.001760  ... -0.001287  0.005618
state_id::17.0:fyear  0.007986    0.002766  ...  0.002561  0.013411
state_id::18.0:fyear  0.001257    0.004244  ... -0.007067  0.009581
state_id::19.0:fyear -0.005889    0.003935  ... -0.013608  0.001830
state_id::21.0:fyear  0.005849    0.001641  ...  0.002631  0.009067
state_id::22.0:fyear  0.001518    0.001112  ... -0.000663  0.003699
state_id::23.0:fyear  0.002535    0.001758  ... -0.000912  0.005983
state_id::24.0:fyear  0.003928    0.001759  ...  0.000477  0.007379
state_id::25.0:fyear -0.006946    0.008655  ... -0.023922  0.010030
state_id::26.0:fyear  0.004724    0.001384  ...  0.002011  0.007438
state_id::28.0:fyear  0.051023    0.011334  ...  0.028792  0.073255
state_id::29.0:fyear -0.015131    0.003642  ... -0.022276 -0.007987
state_id::30.0:fyear  0.005240    0.002724  ... -0.000103  0.010583
state_id::31.0:fyear  0.001568    0.001111  ... -0.000612  0.003748
state_id::32.0:fyear -0.106932    0.005626  ... -0.117966 -0.095898
state_id::33.0:fyear  0.001596    0.001111  ... -0.000583  0.003775
state_id::34.0:fyear  0.001544    0.002270  ... -0.002907  0.005996
state_id::36.0:fyear  0.001523    0.001111  ... -0.000657  0.003703
state_id::38.0:fyear  0.028702    0.007330  ...  0.014324  0.043079
state_id::39.0:fyear  0.001552    0.001112  ... -0.000629  0.003733
state_id::40.0:fyear  0.010428    0.001607  ...  0.007275  0.013580
state_id::41.0:fyear  0.001248    0.002223  ... -0.003111  0.005608
state_id::43.0:fyear  0.001496    0.003356  ... -0.005086  0.008079
state_id::44.0:fyear -0.000773    0.001665  ... -0.004039  0.002494
state_id::45.0:fyear  0.007841    0.001969  ...  0.003978  0.011703
state_id::47.0:fyear  0.000732    0.002128  ... -0.003442  0.004905
state_id::48.0:fyear -0.000489    0.001334  ... -0.003106  0.002128

[42 rows x 6 columns]
