Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 40pct
Method: LD
Iteration: 19
---
FocalIV: ad_law2
Coef: -0.012119
SE: 0.004479
pval: 0.006908
Nobs: 7759
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.012119    0.004479  ... -0.020907 -0.003332
ln_at_adj             0.006553    0.004825  ... -0.002914  0.016020
ppent_at             -0.159190    0.028649  ... -0.215397 -0.102984
div_payer             0.030292    0.005605  ...  0.019295  0.041288
state_inc_growth      0.002325    0.000516  ...  0.001313  0.003337
state_id::1.0:fyear   0.002224    0.001233  ... -0.000194  0.004643
state_id::3.0:fyear   0.010012    0.010563  ... -0.010712  0.030735
state_id::4.0:fyear   0.004691    0.001443  ...  0.001861  0.007521
state_id::5.0:fyear   0.005960    0.001744  ...  0.002539  0.009382
state_id::6.0:fyear   0.001654    0.004329  ... -0.006838  0.010146
state_id::7.0:fyear   0.002050    0.001860  ... -0.001599  0.005698
state_id::10.0:fyear  0.005541    0.002184  ...  0.001257  0.009825
state_id::11.0:fyear  0.002818    0.002750  ... -0.002577  0.008214
state_id::14.0:fyear  0.002169    0.001234  ... -0.000252  0.004589
state_id::15.0:fyear  0.003075    0.001533  ...  0.000067  0.006083
state_id::17.0:fyear  0.009071    0.003401  ...  0.002399  0.015743
state_id::18.0:fyear  0.007778    0.001596  ...  0.004646  0.010909
state_id::19.0:fyear  0.000581    0.002767  ... -0.004848  0.006010
state_id::21.0:fyear  0.008759    0.001620  ...  0.005582  0.011937
state_id::22.0:fyear  0.002152    0.001234  ... -0.000269  0.004573
state_id::23.0:fyear  0.003776    0.001830  ...  0.000185  0.007366
state_id::24.0:fyear  0.003849    0.002003  ... -0.000081  0.007779
state_id::25.0:fyear  0.028645    0.001890  ...  0.024936  0.032353
state_id::26.0:fyear  0.005411    0.001697  ...  0.002081  0.008741
state_id::28.0:fyear  0.040507    0.003155  ...  0.034318  0.046697
state_id::29.0:fyear -0.017676    0.002129  ... -0.021853 -0.013500
state_id::30.0:fyear  0.007457    0.002158  ...  0.003223  0.011691
state_id::31.0:fyear  0.002173    0.001233  ... -0.000246  0.004592
state_id::33.0:fyear  0.002213    0.001233  ... -0.000206  0.004632
state_id::34.0:fyear  0.002585    0.003352  ... -0.003990  0.009161
state_id::36.0:fyear  0.002108    0.001233  ... -0.000311  0.004527
state_id::38.0:fyear  0.002789    0.004223  ... -0.005496  0.011074
state_id::39.0:fyear  0.002172    0.001234  ... -0.000248  0.004593
state_id::40.0:fyear  0.011896    0.001550  ...  0.008856  0.014937
state_id::41.0:fyear  0.006742    0.002264  ...  0.002300  0.011185
state_id::43.0:fyear  0.005440    0.004734  ... -0.003848  0.014728
state_id::44.0:fyear  0.000191    0.001907  ... -0.003551  0.003932
state_id::45.0:fyear  0.007197    0.001423  ...  0.004405  0.009990
state_id::47.0:fyear  0.000966    0.003108  ... -0.005132  0.007064
state_id::48.0:fyear  0.002721    0.001492  ... -0.000206  0.005648

[40 rows x 6 columns]
