Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 50pct
Method: Mean
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.010775
SE: 0.003539
pval: 0.002364
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010775     0.003539  ...    -0.017716    -0.003834
ln_at_adj             0.001343     0.000845  ...    -0.000314     0.003000
ppent_at             -0.136787     0.021180  ...    -0.178330    -0.095245
div_payer             0.026572     0.004400  ...     0.017941     0.035203
state_inc_growth      0.002005     0.000389  ...     0.001242     0.002768
state_id::1.0:fyear   0.062919  1194.072385  ... -2342.038862  2342.164700
state_id::3.0:fyear   0.067034  1232.134285  ... -2416.690894  2416.824962
state_id::4.0:fyear   0.062569  1216.403554  ... -2385.840468  2385.965606
state_id::5.0:fyear   0.064629  1174.139588  ... -2302.940159  2303.069417
state_id::6.0:fyear   0.062864  1221.838112  ... -2396.499735  2396.625462
state_id::7.0:fyear   0.062922  1207.959222  ... -2369.277060  2369.402905
state_id::10.0:fyear  0.065331  1209.892146  ... -2373.065968  2373.196630
state_id::11.0:fyear  0.063819  1213.596692  ... -2380.333725  2380.461364
state_id::12.0:fyear  0.084840  1243.183135  ... -2438.344748  2438.514429
state_id::14.0:fyear  0.062907  1223.701488  ... -2400.154593  2400.280406
state_id::15.0:fyear  0.063756  1218.346133  ... -2389.649534  2389.777047
state_id::17.0:fyear  0.068919  1211.024655  ... -2375.283728  2375.421566
state_id::18.0:fyear  0.063245  1227.297033  ... -2407.206700  2407.333191
state_id::19.0:fyear  0.055582  1230.178698  ... -2412.866578  2412.977742
state_id::21.0:fyear  0.068019  1237.482519  ... -2427.180151  2427.316189
state_id::22.0:fyear  0.062896  1228.128138  ... -2408.837214  2408.963006
state_id::23.0:fyear  0.063531  1227.242506  ... -2407.099464  2407.226527
state_id::24.0:fyear  0.064671  1226.860252  ... -2406.348555  2406.477896
state_id::25.0:fyear  0.051716  1233.956666  ... -2420.280703  2420.384135
state_id::26.0:fyear  0.065996  1174.350501  ... -2303.352485  2303.484477
state_id::28.0:fyear  0.119366  1169.326853  ... -2293.445529  2293.684261
state_id::29.0:fyear  0.044348  1235.917256  ... -2424.133652  2424.222349
state_id::30.0:fyear  0.067080  1199.990750  ... -2353.643220  2353.777380
state_id::31.0:fyear  0.062924  1192.714201  ... -2339.374860  2339.500709
state_id::32.0:fyear -0.006286  1130.638113  ... -2217.685525  2217.672953
state_id::33.0:fyear  0.062964  1205.664988  ... -2364.777017  2364.902944
state_id::34.0:fyear  0.062116  1153.228522  ... -2261.926864  2262.051095
state_id::36.0:fyear  0.062872  1222.923977  ... -2398.629586  2398.755330
state_id::38.0:fyear  0.057602  1224.186417  ... -2401.111056  2401.226260
state_id::39.0:fyear  0.062922  1222.216216  ... -2397.241305  2397.367150
state_id::40.0:fyear  0.071204  1212.282369  ... -2377.748374  2377.890782
state_id::41.0:fyear  0.062345  1234.999297  ... -2422.315134  2422.439824
state_id::43.0:fyear  0.063418  1241.530223  ... -2435.124080  2435.250917
state_id::44.0:fyear  0.060701  1194.782170  ... -2343.433281  2343.554684
state_id::45.0:fyear  0.069389  1231.572308  ... -2415.586254  2415.725032
state_id::47.0:fyear  0.062378  1204.674214  ... -2362.834258  2362.959015
state_id::48.0:fyear  0.061104  1196.328203  ... -2346.465329  2346.587537
state_id::50.0:fyear  0.061283  1206.128426  ... -2365.687703  2365.810269

[43 rows x 6 columns]
