Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 50pct
Method: Iter
Iteration: 24
---
FocalIV: ad_law2
Coef: -0.011833
SE: 0.003222
pval: 0.000247
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011833     0.003222  ...    -0.018153    -0.005514
ln_at_adj             0.004141     0.003712  ...    -0.003139     0.011421
ppent_at              0.005693     0.006583  ...    -0.007219     0.018605
div_payer             0.031175     0.005279  ...     0.020820     0.041529
state_inc_growth      0.001972     0.000394  ...     0.001199     0.002745
state_id::1.0:fyear   0.046764  2289.892237  ... -4491.352197  4491.445724
state_id::3.0:fyear   0.050454  2291.615867  ... -4494.729238  4494.830147
state_id::4.0:fyear   0.046222  2290.989984  ... -4493.505862  4493.598307
state_id::5.0:fyear   0.048328  2274.495549  ... -4461.151541  4461.248196
state_id::6.0:fyear   0.047203  2293.799703  ... -4499.015870  4499.110276
state_id::7.0:fyear   0.046856  2308.372420  ... -4527.599171  4527.692883
state_id::10.0:fyear  0.049501  2290.828740  ... -4493.186319  4493.285321
state_id::11.0:fyear  0.046340  2280.967485  ... -4473.847595  4473.940276
state_id::12.0:fyear  0.067462  2272.092989  ... -4456.420020  4456.554943
state_id::14.0:fyear  0.046734  2285.095217  ... -4481.943343  4482.036812
state_id::15.0:fyear  0.047402  2284.032207  ... -4479.857685  4479.952490
state_id::17.0:fyear  0.053246  2289.881091  ... -4491.323853  4491.430345
state_id::18.0:fyear  0.046222  2302.536830  ... -4516.153868  4516.246312
state_id::19.0:fyear  0.040178  2295.466684  ... -4502.292515  4502.372870
state_id::21.0:fyear  0.051265  2278.712479  ... -4469.419698  4469.522228
state_id::22.0:fyear  0.046721  2282.027140  ... -4475.925624  4476.019065
state_id::23.0:fyear  0.047672  2285.078419  ... -4481.909458  4482.004803
state_id::24.0:fyear  0.049270  2295.757811  ... -4502.854438  4502.952979
state_id::25.0:fyear  0.038312  2288.174305  ... -4487.991095  4488.067719
state_id::26.0:fyear  0.050343  2301.871732  ... -4514.845221  4514.945908
state_id::28.0:fyear  0.096075  2285.833185  ... -4483.341453  4483.533604
state_id::29.0:fyear  0.030054  2273.392425  ... -4459.006145  4459.066254
state_id::30.0:fyear  0.050413  2284.998626  ... -4481.750209  4481.851036
state_id::31.0:fyear  0.046771  2300.200992  ... -4511.571803  4511.665344
state_id::32.0:fyear -0.063896  2300.267543  ... -4511.813002  4511.685210
state_id::33.0:fyear  0.046798  2286.836006  ... -4485.357666  4485.451263
state_id::34.0:fyear  0.046653  2294.325422  ... -4500.047566  4500.140871
state_id::36.0:fyear  0.046736  2285.512144  ... -4482.761102  4482.854574
state_id::38.0:fyear  0.067910  2299.383198  ... -4509.946640  4510.082461
state_id::39.0:fyear  0.046762  2289.977501  ... -4491.519436  4491.612960
state_id::40.0:fyear  0.055612  2292.274344  ... -4496.015619  4496.126842
state_id::41.0:fyear  0.046459  2297.223850  ... -4505.732742  4505.825659
state_id::43.0:fyear  0.046544  2281.082303  ... -4474.072597  4474.165685
state_id::44.0:fyear  0.044486  2285.904022  ... -4483.531983  4483.620955
state_id::45.0:fyear  0.052937  2275.112120  ... -4462.356275  4462.462149
state_id::47.0:fyear  0.045767  2291.435125  ... -4494.379418  4494.470952
state_id::48.0:fyear  0.043991  2291.887178  ... -4495.267851  4495.355834
state_id::50.0:fyear  0.044811  2286.888237  ... -4485.462098  4485.551720

[43 rows x 6 columns]
