Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 50pct
Method: LD
Iteration: 22
---
FocalIV: ad_law2
Coef: -0.010977
SE: 0.004120
pval: 0.007818
Nobs: 6380
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010977    0.004120  ... -0.019061 -0.002894
ln_at_adj             0.007354    0.005066  ... -0.002585  0.017293
ppent_at             -0.137158    0.027923  ... -0.191937 -0.082378
div_payer             0.022547    0.005455  ...  0.011845  0.033249
state_inc_growth      0.001558    0.000619  ...  0.000344  0.002772
state_id::1.0:fyear   0.002055    0.002513  ... -0.002874  0.006984
state_id::3.0:fyear   0.006392    0.009505  ... -0.012256  0.025040
state_id::4.0:fyear  -0.001170    0.005995  ... -0.012932  0.010591
state_id::5.0:fyear   0.003424    0.002784  ... -0.002037  0.008885
state_id::6.0:fyear   0.001497    0.003193  ... -0.004768  0.007762
state_id::7.0:fyear   0.003118    0.002888  ... -0.002548  0.008784
state_id::10.0:fyear  0.002840    0.003389  ... -0.003808  0.009489
state_id::11.0:fyear  0.002234    0.003125  ... -0.003897  0.008365
state_id::12.0:fyear -0.059467    0.004463  ... -0.068222 -0.050711
state_id::14.0:fyear  0.002027    0.002513  ... -0.002903  0.006957
state_id::15.0:fyear  0.004352    0.002771  ... -0.001084  0.009789
state_id::17.0:fyear  0.001115    0.003787  ... -0.006314  0.008544
state_id::18.0:fyear  0.000561    0.006107  ... -0.011421  0.012543
state_id::19.0:fyear -0.009236    0.006402  ... -0.021796  0.003325
state_id::21.0:fyear  0.006656    0.003191  ...  0.000397  0.012916
state_id::22.0:fyear  0.002015    0.002513  ... -0.002915  0.006945
state_id::23.0:fyear  0.001600    0.003325  ... -0.004923  0.008122
state_id::24.0:fyear  0.004294    0.002934  ... -0.001462  0.010051
state_id::25.0:fyear -0.019927    0.003131  ... -0.026070 -0.013783
state_id::26.0:fyear  0.004979    0.002791  ... -0.000496  0.010454
state_id::28.0:fyear  0.036010    0.003895  ...  0.028368  0.043652
state_id::29.0:fyear -0.026559    0.002765  ... -0.031984 -0.021135
state_id::30.0:fyear  0.007850    0.005643  ... -0.003220  0.018920
state_id::31.0:fyear  0.002041    0.002513  ... -0.002889  0.006970
state_id::32.0:fyear -0.077076    0.011881  ... -0.100384 -0.053768
state_id::33.0:fyear  0.002088    0.002513  ... -0.002842  0.007017
state_id::34.0:fyear  0.004813    0.003429  ... -0.001914  0.011540
state_id::36.0:fyear  0.002009    0.002513  ... -0.002921  0.006938
state_id::38.0:fyear -0.012038    0.007217  ... -0.026196  0.002120
state_id::39.0:fyear  0.002048    0.002513  ... -0.002882  0.006979
state_id::40.0:fyear  0.011045    0.003170  ...  0.004827  0.017264
state_id::41.0:fyear  0.000172    0.005380  ... -0.010382  0.010727
state_id::43.0:fyear  0.001359    0.005153  ... -0.008750  0.011469
state_id::44.0:fyear -0.000911    0.002922  ... -0.006645  0.004822
state_id::45.0:fyear  0.005887    0.004278  ... -0.002506  0.014281
state_id::47.0:fyear -0.000944    0.002976  ... -0.006782  0.004895
state_id::48.0:fyear -0.000805    0.002972  ... -0.006636  0.005026

[42 rows x 6 columns]
