Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 5pct
Method: LD
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.011003
SE: 0.003571
pval: 0.002099
Nobs: 12547
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.011003    0.003571  ...   -0.018008   -0.003998
ln_at_adj             0.006012    0.004333  ...   -0.002488    0.014512
ppent_at             -0.142196    0.021069  ...   -0.183523   -0.100870
div_payer             0.025600    0.004659  ...    0.016461    0.034739
state_inc_growth      0.002056    0.000401  ...    0.001269    0.002843
state_id::1.0:fyear   0.016866  385.891463  ... -756.897436  756.931168
state_id::3.0:fyear   0.021124  382.718279  ... -750.669075  750.711322
state_id::4.0:fyear   0.014007  370.506777  ... -726.723703  726.751718
state_id::5.0:fyear   0.018620  385.321567  ... -755.777849  755.815089
state_id::6.0:fyear   0.015313  391.949727  ... -768.782088  768.812715
state_id::7.0:fyear   0.016882  392.155173  ... -769.183496  769.217259
state_id::10.0:fyear  0.019087  382.600679  ... -750.440442  750.478616
state_id::11.0:fyear  0.017934  383.568972  ... -752.340873  752.376740
state_id::12.0:fyear  0.033670  376.512021  ... -738.483143  738.550484
state_id::14.0:fyear  0.016859  382.406383  ... -750.061565  750.095282
state_id::15.0:fyear  0.018107  396.862004  ... -778.414575  778.450789
state_id::17.0:fyear  0.023528  383.023539  ... -751.265429  751.312485
state_id::18.0:fyear  0.017451  382.946529  ... -751.120454  751.155356
state_id::19.0:fyear  0.009859  382.611340  ... -750.470582  750.490299
state_id::21.0:fyear  0.021865  389.235044  ... -763.450767  763.494498
state_id::22.0:fyear  0.016848  392.561963  ... -769.981436  770.015131
state_id::23.0:fyear  0.018202  379.280829  ... -743.929544  743.965947
state_id::24.0:fyear  0.018379  381.647140  ... -748.570814  748.607571
state_id::25.0:fyear  0.006046  383.226749  ... -751.681501  751.693592
state_id::26.0:fyear  0.019949  383.364668  ... -751.938121  751.978020
state_id::28.0:fyear  0.072322  383.421294  ... -751.996818  752.141462
state_id::29.0:fyear -0.003110  375.944666  ... -737.407074  737.400854
state_id::30.0:fyear  0.020905  390.264425  ... -765.470829  765.512638
state_id::31.0:fyear  0.016871  384.635452  ... -754.433804  754.467547
state_id::32.0:fyear -0.051358  384.494076  ... -754.224729  754.122013
state_id::33.0:fyear  0.016913  379.520668  ... -744.401269  744.435095
state_id::34.0:fyear  0.016363  377.649567  ... -740.731712  740.764438
state_id::36.0:fyear  0.016821  384.468422  ... -754.106229  754.139870
state_id::38.0:fyear  0.012232  378.728069  ... -742.851293  742.875756
state_id::39.0:fyear  0.016872  380.095457  ... -745.528742  745.562486
state_id::40.0:fyear  0.025167  389.768405  ... -764.493638  764.543972
state_id::41.0:fyear  0.015874  391.938131  ... -768.758782  768.790531
state_id::43.0:fyear  0.018857  386.259964  ... -757.618248  757.655963
state_id::44.0:fyear  0.014596  382.465005  ... -750.178814  750.208005
state_id::45.0:fyear  0.023412  383.105881  ... -751.427056  751.473879
state_id::47.0:fyear  0.015931  378.238430  ... -741.887179  741.919042
state_id::48.0:fyear  0.015206  392.238569  ... -769.348750  769.379162
state_id::50.0:fyear  0.015299  382.752318  ... -750.741665  750.772263

[43 rows x 6 columns]
