Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 5pct
Method: DL
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.011403
SE: 0.003575
pval: 0.001450
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011403     0.003575  ...    -0.018414    -0.004391
ln_at_adj             0.005191     0.004194  ...    -0.003036     0.013417
ppent_at             -0.137822     0.021264  ...    -0.179531    -0.096114
div_payer             0.025978     0.004185  ...     0.017769     0.034186
state_inc_growth      0.001616     0.000344  ...     0.000941     0.002290
state_id::1.0:fyear   0.069233  1979.222505  ... -3882.057690  3882.196156
state_id::3.0:fyear   0.073078  1933.879090  ... -3793.115440  3793.261597
state_id::4.0:fyear   0.068682  1991.832872  ... -3906.792723  3906.930087
state_id::5.0:fyear   0.070788  1940.096175  ... -3805.312171  3805.453748
state_id::6.0:fyear   0.069089  1951.400770  ... -3827.487160  3827.625338
state_id::7.0:fyear   0.068909  1963.438212  ... -3851.098064  3851.235882
state_id::10.0:fyear  0.071587  1948.469835  ... -3821.735807  3821.878981
state_id::11.0:fyear  0.069917  1969.942689  ... -3863.855198  3863.995033
state_id::12.0:fyear  0.090457  1941.900569  ... -3808.831714  3809.012628
state_id::14.0:fyear  0.069222  2017.778717  ... -3957.683410  3957.821855
state_id::15.0:fyear  0.069885  1949.880693  ... -3824.504822  3824.644592
state_id::17.0:fyear  0.074882  1962.569756  ... -3849.388666  3849.538429
state_id::18.0:fyear  0.069591  1972.443340  ... -3868.760403  3868.899585
state_id::19.0:fyear  0.061737  1958.209424  ... -3840.849280  3840.972753
state_id::21.0:fyear  0.074091  1983.477425  ... -3890.398603  3890.546785
state_id::22.0:fyear  0.069212  1994.210111  ... -3911.455005  3911.593429
state_id::23.0:fyear  0.069786  1979.603348  ... -3882.804136  3882.943708
state_id::24.0:fyear  0.071023  1999.624908  ... -3922.073996  3922.216042
state_id::25.0:fyear  0.058565  1939.071070  ... -3803.313712  3803.430843
state_id::26.0:fyear  0.072385  1979.826978  ... -3883.240174  3883.384944
state_id::28.0:fyear  0.123142  1962.700062  ... -3849.595993  3849.842277
state_id::29.0:fyear  0.049984  1978.799955  ... -3881.248132  3881.348100
state_id::30.0:fyear  0.073252  1964.573274  ... -3853.320077  3853.466581
state_id::31.0:fyear  0.069237  1986.437376  ... -3896.209224  3896.347698
state_id::32.0:fyear -0.000512  1995.030735  ... -3913.134335  3913.133311
state_id::33.0:fyear  0.069277  1976.412088  ... -3876.545180  3876.683734
state_id::34.0:fyear  0.068695  1971.140567  ... -3866.205988  3866.343379
state_id::36.0:fyear  0.069185  1993.579035  ... -3910.217216  3910.355585
state_id::38.0:fyear  0.064215  1966.147161  ... -3856.416199  3856.544629
state_id::39.0:fyear  0.069235  1994.698659  ... -3912.413240  3912.551710
state_id::40.0:fyear  0.077430  1974.946296  ... -3873.661963  3873.816823
state_id::41.0:fyear  0.068539  1982.852777  ... -3889.178944  3889.316023
state_id::43.0:fyear  0.069658  1994.058238  ... -3911.156669  3911.295985
state_id::44.0:fyear  0.067024  1970.893173  ... -3865.722411  3865.856459
state_id::45.0:fyear  0.075775  1996.695779  ... -3916.323932  3916.475483
state_id::47.0:fyear  0.068408  1982.620627  ... -3888.723727  3888.860543
state_id::48.0:fyear  0.067444  1946.833256  ... -3818.529896  3818.664785
state_id::50.0:fyear  0.067652  1954.260322  ... -3833.097436  3833.232741

[43 rows x 6 columns]
