Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 10pct
Method: LD
Iteration: 14
---
FocalIV: Treatment_FIN
Coef: 2187.611662
SE: 1107.991404
pval: 0.048866
Nobs: 550
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  2255.510095  6067.759234  ...  -9664.824400  14175.844589
Treatment_FIN              2187.611662  1107.991404  ...     10.922105   4364.301218
Treatment_MKT              3566.060904  1305.928435  ...   1000.516826   6131.604982
Gender                    -2128.837333  1158.091605  ...  -4403.950563    146.275897
Age                         -34.596743    66.970939  ...   -166.163597     96.970111
Children_total              140.888675   379.979301  ...   -605.594533    887.371882
Race_SAblackcolored         749.845400  5119.705378  ...  -9308.002690  10807.693490
Race_Foreigner             -889.948731  5067.807876  ... -10845.842284   9065.944822
Educ_high                  2060.028419  1103.673612  ...   -108.178677   4228.235515
Operating_yearstotal        167.834937    78.673518  ...     13.277940    322.391935
Activity_Hours              -38.099226    24.810796  ...    -86.840940     10.642488
pre_Employees1_composite   1719.805048   248.088210  ...   1232.426704   2207.183393
FormalReg                 -1603.997476  1142.781400  ...  -3849.033249    641.038297
pre_Profits3_composite_w1     0.556774     0.119645  ...      0.321728      0.791820
Ind2_SIC15                 -894.351008  5912.017290  ... -12508.724769  10720.022754
Ind2_SIC17                -9430.264233  3346.636230  ... -16004.853263  -2855.675203
Ind2_SIC23                -2070.182862  2523.252902  ...  -7027.205288   2886.839565
Ind2_SIC25                 3828.235292  8002.494560  ... -11892.957372  19549.427955
Ind2_SIC34                -5275.871165  3240.771793  ... -11642.485643   1090.743313
Ind2_SIC41                 -870.550822  4053.431442  ...  -8833.664846   7092.563201
Ind2_SIC54                  124.177930  2400.666170  ...  -4592.018389   4840.374248
Ind2_SIC56                -1625.436800  2424.300959  ...  -6388.064524   3137.190923
Ind2_SIC57                 4000.176565  3909.483500  ...  -3680.146471  11680.499600
Ind2_SIC58                -3160.112303  2584.928956  ...  -8238.299591   1918.074984
Ind2_SIC59                 -242.499064  2793.994802  ...  -5731.403836   5246.405708
Ind2_SIC72                -2862.902452  2086.275048  ...  -6961.465934   1235.661031
Ind2_SIC73                -6319.078845  2570.083666  ... -11368.102017  -1270.055673
Ind2_SIC75                 1807.813789  3985.469197  ...  -6021.785922   9637.413500
Ind2_SIC76                -3103.348667  2357.926922  ...  -7735.582171   1528.884837
Ind2_SIC83                -6781.400493  3118.400651  ... -12907.612397   -655.188589

[30 rows x 6 columns]
