Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 1pct
Method: Iter
Iteration: 20
---
FocalIV: Treatment_FIN
Coef: 2301.885626
SE: 1043.604720
pval: 0.027795
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1414.632761  5706.678763  ... -12622.866241   9793.600718
Treatment_FIN              2301.885626  1043.604720  ...    252.188097   4351.583156
Treatment_MKT              3484.720218  1190.278282  ...   1146.947681   5822.492756
Gender                    -1557.501436  1100.600653  ...  -3719.142138    604.139267
Age                         -37.320471    62.540669  ...   -160.153812     85.512869
Children_total              158.869395   349.473102  ...   -527.515152    845.253942
Race_SAblackcolored        2537.590373  4805.908872  ...  -6901.481102  11976.661848
Race_Foreigner             1193.339064  4773.942481  ...  -8182.948646  10569.626774
Educ_high                  2463.219871  1043.579903  ...    413.571083   4512.868659
Operating_yearstotal        176.623003    78.515409  ...     22.414388    330.831619
Activity_Hours              -32.033160    20.608128  ...    -72.508666      8.442345
pre_Employees1_composite   1415.380663   259.113240  ...    906.467894   1924.293432
FormalReg                 -1304.089559  1056.571228  ...  -3379.254029    771.074910
pre_Profits3_composite_w1     0.592823     0.122906  ...      0.351429      0.834218
Ind2_SIC15                  567.946752  5916.585236  ... -11052.554679  12188.448184
Ind2_SIC17                -5849.519535  3416.384184  ... -12559.487484    860.448413
Ind2_SIC23                 -965.612797  2096.162661  ...  -5082.592479   3151.366886
Ind2_SIC25                 4123.343270  7365.195457  ... -10342.308950  18588.995489
Ind2_SIC34                -3720.851833  2671.488939  ...  -8967.804223   1526.100556
Ind2_SIC41                  317.275125  3756.173270  ...  -7060.057428   7694.607678
Ind2_SIC54                  981.671196  2044.552749  ...  -3033.943757   4997.286148
Ind2_SIC56                -1242.913664  2058.277373  ...  -5285.484540   2799.657211
Ind2_SIC57                 5290.154331  3672.926365  ...  -1923.676683  12503.985346
Ind2_SIC58                -2080.999402  2200.162552  ...  -6402.240636   2240.241832
Ind2_SIC59                  949.361388  2470.672812  ...  -3903.176994   5801.899770
Ind2_SIC72                -1437.604476  1769.275501  ...  -4912.559652   2037.350699
Ind2_SIC73                -4732.635250  2203.177293  ...  -9059.797603   -405.472898
Ind2_SIC75                 3664.050213  3763.967391  ...  -3728.590425  11056.690852
Ind2_SIC76                -1710.415776  1994.039577  ...  -5626.820058   2205.988506
Ind2_SIC83                -4970.443996  2620.704650  ... -10117.653225    176.765234

[30 rows x 6 columns]
