Paper: 0025
KeyVar: Activity_Hours
Mechanism: MAR
Proportion: 20pct
Method: LD
Iteration: 2
---
FocalIV: Treatment_FIN
Coef: 2368.798593
SE: 1243.007313
pval: 0.057314
Nobs: 489
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -6007.661630  6049.422983  ... -17895.659524   5880.336264
Treatment_FIN              2368.798593  1243.007313  ...    -73.891952   4811.489138
Treatment_MKT              3416.490158  1450.399373  ...    566.243987   6266.736329
Gender                    -1903.292215  1362.487133  ...  -4580.778020    774.193589
Age                           8.733203    79.631548  ...   -147.754395    165.220801
Children_total               81.294202   427.832109  ...   -759.458250    922.046654
Race_SAblackcolored        6944.490135  5186.456989  ...  -3247.653799  17136.634069
Race_Foreigner             5533.586770  5123.499911  ...  -4534.837330  15602.010869
Educ_high                  3015.852686  1262.596061  ...    534.667397   5497.037975
Operating_yearstotal        175.968763    81.056863  ...     16.680213    335.257312
Activity_Hours              -50.669298    27.819458  ...   -105.338588      3.999991
pre_Employees1_composite   1595.892145   281.728098  ...   1042.255370   2149.528920
FormalReg                 -1385.991188  1321.330601  ...  -3982.598410   1210.616033
pre_Profits3_composite_w1     0.441901     0.118629  ...      0.208779      0.675024
Ind2_SIC15                 1108.649937  6082.179503  ... -10843.719295  13061.019168
Ind2_SIC17                -4875.238735  3948.925180  ... -12635.452290   2884.974819
Ind2_SIC23                -1400.551096  2700.964916  ...  -6708.340834   3907.238642
Ind2_SIC25                 6174.528262  8527.272766  ... -10582.805615  22931.862138
Ind2_SIC34                -3813.525403  3087.681302  ...  -9881.269206   2254.218400
Ind2_SIC41                 1203.783046  4363.119800  ...  -7370.383306   9777.949399
Ind2_SIC54                 -361.251103  2540.686223  ...  -5354.069849   4631.567644
Ind2_SIC56                -2276.299300  2620.692644  ...  -7426.342324   2873.743724
Ind2_SIC57                 1636.287141  3192.370691  ...  -4637.186571   7909.760852
Ind2_SIC58                -1840.250078  2791.609747  ...  -7326.170121   3645.669965
Ind2_SIC59                  251.032674  3569.918148  ...  -6764.376819   7266.442167
Ind2_SIC72                -2050.375688  2277.698241  ...  -6526.384717   2425.633342
Ind2_SIC73                -5559.695791  2727.004858  ... -10918.657811   -200.733771
Ind2_SIC75                 1073.948044  3037.296914  ...  -4894.783092   7042.679181
Ind2_SIC76                -2398.726570  2594.265359  ...  -7496.836127   2699.382987
Ind2_SIC83                -6296.101504  3276.579243  ... -12735.057295    142.854286

[30 rows x 6 columns]
