Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 20pct
Method: Reg
Iteration: 4
---
FocalIV: Treatment_FIN
Coef: 1767.126570
SE: 1087.297058
pval: 0.104652
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2032.576206  6884.912949  ... -15554.926951  11489.774539
Treatment_FIN              1767.126570  1087.297058  ...   -368.385134   3902.638275
Treatment_MKT              3221.034312  1191.037470  ...    881.770687   5560.297937
Gender                    -1507.369537  1128.912841  ...  -3724.616946    709.877871
Age                         -28.490204    68.309515  ...   -162.653878    105.673470
Children_total              255.079839   361.625241  ...   -455.172184    965.331861
Race_SAblackcolored        4343.390594  6473.276924  ...  -8370.484177  17057.265366
Race_Foreigner             3509.598268  6475.094575  ...  -9207.846470  16227.043005
Educ_high                  2526.162014  1038.930428  ...    485.645053   4566.678976
Operating_yearstotal        165.991276    82.314267  ...      4.321492    327.661059
Activity_Hours              -48.576585    23.734312  ...    -95.192090     -1.961080
pre_Employees1_composite   1519.497327   293.715587  ...    942.623630   2096.371024
FormalReg                 -1451.827374  1189.901667  ...  -3788.860220    885.205471
pre_Profits3_composite_w1     0.502730     0.107937  ...      0.290735      0.714725
Ind2_SIC15                 1279.933964  5870.602197  ... -10250.254228  12810.122157
Ind2_SIC17                -5157.465968  3300.336077  ... -11639.509001   1324.577065
Ind2_SIC23                -1489.292482  2323.359705  ...  -6052.499754   3073.914790
Ind2_SIC25                 4324.653455  7560.400679  ... -10524.392643  19173.699553
Ind2_SIC34                -3742.873569  2771.810009  ...  -9186.862101   1701.114964
Ind2_SIC41                   81.313362  3748.941745  ...  -7281.816074   7444.442798
Ind2_SIC54                 -140.711716  2348.355886  ...  -4753.012873   4471.589441
Ind2_SIC56                -2008.225827  2309.569275  ...  -6544.347932   2527.896277
Ind2_SIC57                 5230.721709  3940.358325  ...  -2508.360504  12969.803921
Ind2_SIC58                -2329.283356  2424.112478  ...  -7090.374661   2431.807948
Ind2_SIC59                 1049.395856  2768.149770  ...  -4387.403764   6486.195477
Ind2_SIC72                -1622.142931  1998.840711  ...  -5547.976908   2303.691046
Ind2_SIC73                -5278.693706  2493.779315  ... -10176.614541   -380.772870
Ind2_SIC75                 3277.681432  4155.281798  ...  -4883.522396  11438.885260
Ind2_SIC76                -2712.874599  2286.816129  ...  -7204.308262   1778.559064
Ind2_SIC83                -5880.383554  3009.312161  ... -11790.839481     30.072373

[30 rows x 6 columns]
