Paper: 0025
KeyVar: Activity_Hours
Mechanism: MAR
Proportion: 40pct
Method: Iter
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 2295.680934
SE: 1055.496404
pval: 0.030034
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                   788.641444  6065.465402  ... -11124.268888  12701.551775
Treatment_FIN              2295.680934  1055.496404  ...    222.627478   4368.734390
Treatment_MKT              3617.177685  1193.721663  ...   1272.642158   5961.713213
Gender                    -1550.510722  1090.086943  ...  -3691.501914    590.480471
Age                         -42.747797    65.256619  ...   -170.915414     85.419819
Children_total              231.687275   356.002395  ...   -467.521167    930.895716
Race_SAblackcolored        2236.324730  5042.135649  ...  -7666.709230  12139.358691
Race_Foreigner              887.602746  4999.968059  ...  -8932.611732  10707.817223
Educ_high                  2572.719435  1055.243794  ...    500.162119   4645.276751
Operating_yearstotal        211.472561    79.661868  ...     55.012236    367.932887
Activity_Hours              -67.856155    28.960081  ...   -124.735360    -10.976950
pre_Employees1_composite   1505.220406   256.428260  ...   1001.581087   2008.859725
FormalReg                 -1202.387551  1049.531901  ...  -3263.726392    858.951290
pre_Profits3_composite_w1     0.538686     0.114321  ...      0.314153      0.763218
Ind2_SIC15                  384.072949  5869.261142  ... -11143.481338  11911.627235
Ind2_SIC17                -6228.891321  3521.809257  ... -13145.919957    688.137316
Ind2_SIC23                -1052.582033  2292.428477  ...  -5555.038660   3449.874593
Ind2_SIC25                 4375.991088  7237.480758  ...  -9838.822381  18590.804558
Ind2_SIC34                -3785.268058  2669.207022  ...  -9027.738636   1457.202519
Ind2_SIC41                  372.852984  3836.044747  ...  -7161.351577   7907.057545
Ind2_SIC54                 1183.992385  2208.547703  ...  -3153.717750   5521.702519
Ind2_SIC56                -1666.943457  2232.948342  ...  -6052.577800   2718.690885
Ind2_SIC57                 5125.493240  3805.313807  ...  -2348.354051  12599.340532
Ind2_SIC58                -2115.687524  2361.193976  ...  -6753.203402   2521.828353
Ind2_SIC59                  498.949262  2737.090911  ...  -4876.849038   5874.747562
Ind2_SIC72                -1498.124903  1903.319872  ...  -5236.350656   2240.100850
Ind2_SIC73                -5036.002603  2372.486529  ...  -9695.697682   -376.307525
Ind2_SIC75                 3216.913564  3971.676800  ...  -4583.679870  11017.506998
Ind2_SIC76                -2014.012494  2162.563822  ...  -6261.407739   2233.382750
Ind2_SIC83                -5739.660396  2844.438324  ... -11326.294965   -153.025827

[30 rows x 6 columns]
