Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MAR
Proportion: 40pct
Method: Iter
Iteration: 26
---
FocalIV: Treatment_FIN
Coef: 2316.386870
SE: 1055.744785
pval: 0.028625
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2052.727869  5999.485266  ... -13836.049556   9730.593818
Treatment_FIN              2316.386870  1055.744785  ...    242.845580   4389.928160
Treatment_MKT              3495.080211  1194.245957  ...   1149.514940   5840.645481
Gender                    -1609.090498  1115.459898  ...  -3799.915581    581.734585
Age                          -4.502782    63.498687  ...   -129.217723    120.212159
Children_total              210.856361   362.210157  ...   -500.544470    922.257192
Race_SAblackcolored        2490.220670  5216.837465  ...  -7755.937344  12736.378683
Race_Foreigner              996.444524  5178.546770  ...  -9174.508441  11167.397490
Educ_high                  2426.109525  1062.005156  ...    340.272518   4511.946531
Operating_yearstotal         49.525915    75.027947  ...    -97.833133    196.884962
Activity_Hours              -30.704476    22.588194  ...    -75.068942     13.659990
pre_Employees1_composite   1532.085188   260.619154  ...   1020.214721   2043.955656
FormalReg                 -1185.822234  1085.122509  ...  -3317.063002    945.418534
pre_Profits3_composite_w1     0.550816     0.115559  ...      0.323853      0.777779
Ind2_SIC15                   93.452145  5973.805754  ... -11639.433556  11826.337845
Ind2_SIC17                -6104.948106  3502.223265  ... -12983.508768    773.612557
Ind2_SIC23                 -805.906389  2291.767509  ...  -5307.064837   3695.252058
Ind2_SIC25                 4204.887176  7342.491462  ... -10216.173138  18625.947490
Ind2_SIC34                -3908.872480  2727.946084  ...  -9266.709832   1448.964872
Ind2_SIC41                   22.510050  3882.163144  ...  -7602.273600   7647.293701
Ind2_SIC54                  930.775046  2218.100591  ...  -3425.697490   5287.247582
Ind2_SIC56                -1274.258827  2219.405769  ...  -5633.294805   3084.777152
Ind2_SIC57                 5212.562844  3797.282855  ...  -2245.511212  12670.636899
Ind2_SIC58                -2277.422521  2358.620783  ...  -6909.884505   2355.039464
Ind2_SIC59                  929.697107  2617.553799  ...  -4211.323676   6070.717891
Ind2_SIC72                -1374.965713  1897.394706  ...  -5101.554112   2351.622685
Ind2_SIC73                -4914.072680  2366.709782  ...  -9562.421907   -265.723452
Ind2_SIC75                 3548.019837  4020.280839  ...  -4348.034624  11444.074298
Ind2_SIC76                -2006.961242  2152.713377  ...  -6235.009665   2221.087182
Ind2_SIC83                -5353.263834  2827.754176  ... -10907.129811    200.602143

[30 rows x 6 columns]
