Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MAR
Proportion: 40pct
Method: RF
Iteration: 14
---
FocalIV: Treatment_FIN
Coef: 2353.813996
SE: 1071.284812
pval: 0.028401
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2236.861870  6285.044775  ... -14581.038264  10107.314523
Treatment_FIN              2353.813996  1071.284812  ...    249.751231   4457.876762
Treatment_MKT              3453.470790  1191.298373  ...   1113.694738   5793.246842
Gender                    -1576.543159  1115.410731  ...  -3767.271676    614.185358
Age                           4.742779    71.131907  ...   -134.964230    144.449788
Children_total              214.722436   361.774732  ...   -495.823196    925.268068
Race_SAblackcolored        2482.748425  5260.950503  ...  -7850.050041  12815.546892
Race_Foreigner              968.392989  5217.089928  ...  -9278.260876  11215.046854
Educ_high                  2371.292500  1039.779978  ...    329.106976   4413.478023
Operating_yearstotal          4.190194    83.500921  ...   -159.810244    168.190632
Activity_Hours              -29.711648    22.924728  ...    -74.737084     15.313788
pre_Employees1_composite   1535.838158   259.703740  ...   1025.765615   2045.910702
FormalReg                 -1148.049981  1104.892452  ...  -3318.120014   1022.020053
pre_Profits3_composite_w1     0.550993     0.116000  ...      0.323162      0.778824
Ind2_SIC15                    2.891012  5933.400634  ... -11650.636793  11656.418816
Ind2_SIC17                -6093.618250  3492.874967  ... -12953.818338    766.581837
Ind2_SIC23                 -712.193642  2299.041085  ...  -5227.637796   3803.250512
Ind2_SIC25                 4153.337036  7327.558035  ... -10238.393198  18545.067271
Ind2_SIC34                -3877.626256  2721.816961  ...  -9223.425671   1468.173158
Ind2_SIC41                  -85.147375  3881.654652  ...  -7708.932318   7538.637569
Ind2_SIC54                  995.693455  2225.531070  ...  -3375.372955   5366.759865
Ind2_SIC56                -1267.944442  2226.716946  ...  -5641.339978   3105.451093
Ind2_SIC57                 5261.995177  3774.431979  ...  -2151.198492  12675.188846
Ind2_SIC58                -2355.479457  2355.230637  ...  -6981.283007   2270.324094
Ind2_SIC59                 1027.517845  2618.496307  ...  -4115.354077   6170.389767
Ind2_SIC72                -1272.503122  1917.826454  ...  -5039.220606   2494.214363
Ind2_SIC73                -4894.138461  2368.108816  ...  -9545.235468   -243.041454
Ind2_SIC75                 3549.859300  4088.018931  ...  -4479.236529  11578.955129
Ind2_SIC76                -2007.058123  2156.004632  ...  -6241.570753   2227.454507
Ind2_SIC83                -5353.887765  2829.017952  ... -10910.235869    202.460339

[30 rows x 6 columns]
