Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 40pct
Method: Iter
Iteration: 15
---
FocalIV: Treatment_FIN
Coef: 1646.045811
SE: 1045.087983
pval: 0.115794
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -474.158014  6412.225042  ... -13068.123503  12119.807475
Treatment_FIN              1646.045811  1045.087983  ...   -406.564930   3698.656552
Treatment_MKT              2942.500533  1164.545819  ...    655.267981   5229.733086
Gender                    -1934.256969  1071.609974  ...  -4038.958370    170.444433
Age                         -34.907028    60.989874  ...   -154.694521     84.880466
Children_total              217.366135   332.433689  ...   -435.552062    870.284332
Race_SAblackcolored        2504.646125  5587.756066  ...  -8470.016586  13479.308836
Race_Foreigner              765.292389  5539.676875  ... -10114.940124  11645.524903
Educ_high                  1945.409953   971.345750  ...     37.633046   3853.186859
Operating_yearstotal        194.051768    79.537001  ...     37.836689    350.266847
Activity_Hours              -40.799406    23.164114  ...    -86.295010      4.696199
pre_Employees1_composite   1602.700901   272.290758  ...   1067.906756   2137.495047
FormalReg                  -877.602844  1061.551039  ...  -2962.547940   1207.342251
pre_Profits3_composite_w1     0.681387     0.100738  ...      0.483532      0.879242
Ind2_SIC15                 2809.366868  5152.609144  ...  -7310.643162  12929.376898
Ind2_SIC17                -6291.991915  3502.358047  ... -13170.817298    586.833468
Ind2_SIC23                -1737.589241  2295.889951  ...  -6246.844394   2771.665911
Ind2_SIC25                 4036.977098  6276.118463  ...  -8289.667525  16363.621720
Ind2_SIC34                -4357.147717  2393.795450  ...  -9058.694698    344.399263
Ind2_SIC41                -2176.485863  3789.040006  ...  -9618.370508   5265.398781
Ind2_SIC54                  257.445566  2170.943377  ...  -4006.407587   4521.298719
Ind2_SIC56                -1033.545139  2234.066111  ...  -5421.374841   3354.284564
Ind2_SIC57                 4897.129566  4531.735062  ...  -4003.449344  13797.708476
Ind2_SIC58                -1694.185238  2326.855129  ...  -6264.257717   2875.887240
Ind2_SIC59                 -262.397512  2480.291839  ...  -5133.828195   4609.033171
Ind2_SIC72                -2145.610263  1873.264109  ...  -5824.804831   1533.584306
Ind2_SIC73                -4280.780512  2273.469298  ...  -8746.000260    184.439236
Ind2_SIC75                 1298.225194  3878.311528  ...  -6318.993668   8915.444057
Ind2_SIC76                -1611.145998  2220.291801  ...  -5971.922192   2749.630196
Ind2_SIC83                -5639.928645  2765.842811  ... -11072.197269   -207.660020

[30 rows x 6 columns]
