Paper: 0025
KeyVar: Activity_Hours
Mechanism: MAR
Proportion: 50pct
Method: Reg
Iteration: 2
---
FocalIV: Treatment_FIN
Coef: 2053.297460
SE: 1039.953365
pval: 0.048808
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  4162.973282  5786.190824  ...  -7201.426295  15527.372858
Treatment_FIN              2053.297460  1039.953365  ...     10.771394   4095.823526
Treatment_MKT              3389.772103  1155.234048  ...   1120.828384   5658.715822
Gender                    -2028.859932  1122.452197  ...  -4233.418279    175.698414
Age                         -46.189378    62.544982  ...   -169.031190     76.652433
Children_total              248.625721   351.169208  ...   -441.090074    938.341515
Race_SAblackcolored        1934.696500  4847.372072  ...  -7585.810998  11455.203999
Race_Foreigner              416.332587  4831.918229  ...  -9073.822706   9906.487879
Educ_high                  2647.610128  1063.564468  ...    558.710547   4736.509710
Operating_yearstotal        207.634292    84.513900  ...     41.644306    373.624277
Activity_Hours             -125.343326    44.637111  ...   -213.013086    -37.673565
pre_Employees1_composite   1557.462162   249.562726  ...   1067.307132   2047.617191
FormalReg                 -1451.331075  1060.711190  ...  -3534.626661    631.964510
pre_Profits3_composite_w1     0.529521     0.114661  ...      0.304321      0.754722
Ind2_SIC15                 -215.940321  5808.047282  ... -11623.267194  11191.386551
Ind2_SIC17                -6579.312640  3433.690385  ... -13323.270927    164.645647
Ind2_SIC23                 -109.353845  2025.069946  ...  -4086.703492   3867.995803
Ind2_SIC25                 4118.690404  7487.192515  ... -10586.570800  18823.951608
Ind2_SIC34                -3985.397724  2696.678742  ...  -9281.824284   1311.028835
Ind2_SIC41                 -419.740280  3736.965237  ...  -7759.347191   6919.866632
Ind2_SIC54                 1691.046075  1997.990392  ...  -2233.117828   5615.209978
Ind2_SIC56                 -975.152492  2085.625695  ...  -5071.436989   3121.132005
Ind2_SIC57                 7077.641946  3603.717053  ...     -0.258143  14155.542036
Ind2_SIC58                 -761.919643  2159.123726  ...  -5002.558348   3478.719061
Ind2_SIC59                 1231.965443  2666.727256  ...  -4005.634736   6469.565622
Ind2_SIC72                 -487.799222  1693.507352  ...  -3813.941554   2838.343109
Ind2_SIC73                -5166.513480  2298.945596  ...  -9681.770088   -651.256872
Ind2_SIC75                 2596.512192  3927.354399  ...  -5117.029589  10310.053973
Ind2_SIC76                -1813.534076  2038.574729  ...  -5817.407867   2190.339715
Ind2_SIC83                -5384.178567  2724.678830  ... -10735.598851    -32.758283

[30 rows x 6 columns]
