Paper: 0025
KeyVar: Age
Mechanism: MAR
Proportion: 50pct
Method: Mean
Iteration: 9
---
FocalIV: Treatment_FIN
Coef: 2250.249477
SE: 1050.157229
pval: 0.032546
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  1062.909441  5322.507389  ...  -9390.790161  11516.609043
Treatment_FIN              2250.249477  1050.157229  ...    187.682456   4312.816498
Treatment_MKT              3615.959806  1187.630385  ...   1283.387884   5948.531727
Gender                    -1543.223899  1100.393193  ...  -3704.457139    618.009341
Age                        -104.331192    84.952190  ...   -271.182003     62.519619
Children_total              208.218174   353.926410  ...   -486.912917    903.349265
Race_SAblackcolored        2747.568918  4664.245812  ...  -6413.268451  11908.406287
Race_Foreigner             1449.442512  4653.696888  ...  -7690.676185  10589.561210
Educ_high                  2474.881922  1026.724159  ...    458.338750   4491.425095
Operating_yearstotal        195.131202    80.269715  ...     37.477033    352.785372
Activity_Hours              -35.268723    23.020797  ...    -80.482844      9.945398
pre_Employees1_composite   1522.875718   252.982620  ...   1026.003827   2019.747608
FormalReg                 -1336.115554  1019.514592  ...  -3338.498737    666.267628
pre_Profits3_composite_w1     0.545310     0.113810  ...      0.321782      0.768839
Ind2_SIC15                  428.822952  5930.915565  ... -11219.824040  12077.469944
Ind2_SIC17                -5956.827960  3517.922420  ... -12866.222635    952.566715
Ind2_SIC23                -1130.852662  2300.079174  ...  -5648.335681   3386.630357
Ind2_SIC25                 4315.678425  7412.236210  ... -10242.364440  18873.721291
Ind2_SIC34                -3624.329735  2845.750684  ...  -9213.541853   1964.882383
Ind2_SIC41                  346.466314  3860.001810  ...  -7234.791248   7927.723875
Ind2_SIC54                  780.620142  2197.192365  ...  -3534.787479   5096.027763
Ind2_SIC56                -1404.937770  2240.864279  ...  -5806.119453   2996.243912
Ind2_SIC57                 5250.500399  3862.485025  ...  -2335.634334  12836.635132
Ind2_SIC58                -2059.842793  2378.049749  ...  -6730.464344   2610.778758
Ind2_SIC59                  897.102090  2618.027593  ...  -4244.849252   6039.053432
Ind2_SIC72                -1757.485049  1972.997541  ...  -5632.561606   2117.591509
Ind2_SIC73                -4797.672324  2402.698323  ...  -9516.705041    -78.639607
Ind2_SIC75                 3405.134168  3960.291896  ...  -4373.098683  11183.367018
Ind2_SIC76                -2057.882868  2237.326701  ...  -6452.116550   2336.350815
Ind2_SIC83                -5243.332359  2834.726071  ... -10810.891526    324.226808

[30 rows x 6 columns]
