Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MAR
Proportion: 50pct
Method: LD
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 1817.003010
SE: 1482.020238
pval: 0.221232
Nobs: 306
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  1472.593056  5752.780847  ...  -9852.310290  12797.496402
Treatment_FIN              1817.003010  1482.020238  ...  -1100.496613   4734.502633
Treatment_MKT              3254.439173  1409.243005  ...    480.208544   6028.669802
Gender                    -2114.479790  1300.773156  ...  -4675.177070    446.217489
Age                        -118.073264    76.640177  ...   -268.946836     32.800309
Children_total             -280.242484   452.520393  ...  -1171.072475    610.587507
Race_SAblackcolored        4544.446964  3828.857197  ...  -2993.027318  12081.921245
Race_Foreigner             4153.260210  3617.877819  ...  -2968.880838  11275.401259
Educ_high                  1176.420032  1364.939077  ...  -1510.594045   3863.434110
Operating_yearstotal        240.822711   121.768086  ...      1.110501    480.534920
Activity_Hours               -8.122191    19.164792  ...    -45.849931     29.605550
pre_Employees1_composite   1243.945066   343.068336  ...    568.581994   1919.308139
FormalReg                  -187.461792  1136.290134  ...  -2424.358396   2049.434812
pre_Profits3_composite_w1     0.295008     0.141747  ...      0.015966      0.574051
Ind2_SIC15                -1121.309727  7012.050461  ... -14925.206631  12682.587176
Ind2_SIC17                -7092.388434  3953.265415  ... -14874.772277    689.995410
Ind2_SIC23                -1763.968380  3422.306728  ...  -8501.108893   4973.172133
Ind2_SIC25                -1646.618973  4170.671289  ...  -9856.987225   6563.749279
Ind2_SIC34                -4057.222044  4115.441911  ... -12158.865946   4044.421858
Ind2_SIC41                  126.085689  4386.644791  ...  -8509.447211   8761.618589
Ind2_SIC54                  304.390313  3250.598379  ...  -6094.725773   6703.506400
Ind2_SIC56                -3114.991503  3222.339932  ...  -9458.478113   3228.495108
Ind2_SIC57                 9121.568436  7917.380993  ...  -6464.558842  24707.695715
Ind2_SIC58                -1059.638498  3387.184305  ...  -7727.637139   5608.360142
Ind2_SIC59                 -724.374839  3601.190771  ...  -7813.665825   6364.916148
Ind2_SIC72                -3271.332307  2962.449175  ...  -9103.198923   2560.534308
Ind2_SIC73                -5961.765147  3368.445257  ... -12592.874166    669.343873
Ind2_SIC75                 -255.278127  4371.600549  ...  -8861.194987   8350.638733
Ind2_SIC76                -2474.735456  3034.007893  ...  -8447.472304   3498.001391
Ind2_SIC83                -2969.439617  3984.810076  ... -10813.922167   4875.042932

[30 rows x 6 columns]
