Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 50pct
Method: DL
Iteration: 14
---
FocalIV: Treatment_FIN
Coef: 1943.078148
SE: 970.744707
pval: 0.045788
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  3080.891165  5857.786956  ...  -8424.127185  14585.909515
Treatment_FIN              1943.078148   970.744707  ...     36.481724   3849.674571
Treatment_MKT              1954.001760  1029.823519  ...    -68.628727   3976.632247
Gender                    -1858.737985  1033.359985  ...  -3888.314287    170.838317
Age                         -86.920819    53.805200  ...   -192.597214     18.755576
Children_total              -23.903881   313.417134  ...   -639.472509    591.664746
Race_SAblackcolored        -623.510709  4870.886090  ... -10190.201041   8943.179623
Race_Foreigner            -2324.832799  4816.346388  ... -11784.404134   7134.738536
Educ_high                  1055.706194   951.105747  ...   -812.318224   2923.730613
Operating_yearstotal        170.119835    68.063879  ...     36.438603    303.801066
Activity_Hours              -17.559643    19.722812  ...    -56.296339     21.177052
pre_Employees1_composite   1028.919608   299.292631  ...    441.092287   1616.746929
FormalReg                  -511.149936   977.999083  ...  -2431.994357   1409.694486
pre_Profits3_composite_w1     0.785840     0.120029  ...      0.550097      1.021583
Ind2_SIC15                -3978.785831  4450.222844  ... -12719.270225   4761.698564
Ind2_SIC17                -6259.491617  3353.838286  ... -12846.615954    327.632721
Ind2_SIC23                  447.360444  1871.161841  ...  -3227.705153   4122.426041
Ind2_SIC25                 -903.309719  8133.228303  ... -16877.421029  15070.801591
Ind2_SIC34                -5269.026185  2905.247665  ... -10975.093672    437.041301
Ind2_SIC41                 2983.189722  3719.101901  ...  -4321.332606  10287.712050
Ind2_SIC54                 1897.944194  1837.656311  ...  -1711.314685   5507.203073
Ind2_SIC56                 -179.961796  1862.836048  ...  -3838.675073   3478.751482
Ind2_SIC57                 3315.181340  3573.529103  ...  -3703.427942  10333.790621
Ind2_SIC58                  744.653420  1815.530352  ...  -2821.148849   4310.455689
Ind2_SIC59                 1420.613905  2309.172041  ...  -3114.728008   5955.955818
Ind2_SIC72                  257.552763  1472.543465  ...  -2634.604244   3149.709770
Ind2_SIC73                 -961.308509  1823.842740  ...  -4543.436768   2620.819750
Ind2_SIC75                 7813.266773  2946.756757  ...   2025.673129  13600.860417
Ind2_SIC76                -2145.940114  1954.628754  ...  -5984.939356   1693.059128
Ind2_SIC83                -2203.594934  2333.100524  ...  -6785.933716   2378.743848

[30 rows x 6 columns]
