Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 50pct
Method: RF
Iteration: 3
---
FocalIV: Treatment_FIN
Coef: 1464.856754
SE: 1106.121757
pval: 0.185918
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                   693.714308  5899.012797  ... -10892.273879  12279.702494
Treatment_FIN              1464.856754  1106.121757  ...   -707.627703   3637.341211
Treatment_MKT              3491.178778  1177.520935  ...   1178.462377   5803.895178
Gender                    -1466.097618  1131.113991  ...  -3687.668208    755.472972
Age                         -39.590568    65.127306  ...   -167.504208     88.323073
Children_total              245.680511   349.461465  ...   -440.681181    932.042202
Race_SAblackcolored        2127.566181  5056.419828  ...  -7803.522700  12058.655061
Race_Foreigner              946.789592  5023.144269  ...  -8918.944245  10812.523429
Educ_high                  2012.437292  1008.998283  ...     30.708724   3994.165860
Operating_yearstotal        193.884039    80.633075  ...     35.516208    352.251869
Activity_Hours              -41.748104    23.676539  ...    -88.250139      4.753931
pre_Employees1_composite   1583.768978   262.002835  ...   1069.180886   2098.357071
FormalReg                 -1152.845429  1122.159841  ...  -3356.829572   1051.138714
pre_Profits3_composite_w1     0.554089     0.091599  ...      0.374184      0.733994
Ind2_SIC15                 1431.757914  5825.843290  ... -10010.521304  12874.037133
Ind2_SIC17                -6248.998216  3303.421575  ... -12737.101338    239.104906
Ind2_SIC23                -3022.507187  2390.789000  ...  -7718.149332   1673.134959
Ind2_SIC25                 3732.307047  7568.532175  ... -11132.709759  18597.323854
Ind2_SIC34                -6698.385777  3044.033874  ... -12677.037072   -719.734482
Ind2_SIC41                   41.683048  3712.707941  ...  -7250.281189   7333.647285
Ind2_SIC54                  346.469460  2268.078582  ...  -4108.162623   4801.101543
Ind2_SIC56                -2299.432120  2363.348837  ...  -6941.180265   2342.316026
Ind2_SIC57                 4049.549125  3959.319620  ...  -3726.774123  11825.872372
Ind2_SIC58                -3527.111799  2431.592607  ...  -8302.894492   1248.670894
Ind2_SIC59                  984.087297  3133.124791  ...  -5169.543499   7137.718094
Ind2_SIC72                -2369.177625  2090.950334  ...  -6475.920007   1737.564757
Ind2_SIC73                -6071.235937  2605.322000  ... -11188.232790   -954.239084
Ind2_SIC75                 1970.994306  5341.716290  ...  -8520.432644  12462.421256
Ind2_SIC76                -2158.982920  2395.510267  ...  -6863.897897   2545.932057
Ind2_SIC83                -6796.890602  3132.380919  ... -12949.060393   -644.720812

[30 rows x 6 columns]
