Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 5pct
Method: Mean
Iteration: 15
---
FocalIV: Treatment_FIN
Coef: 2178.419017
SE: 1045.328691
pval: 0.037601
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1330.605711  5828.496137  ... -12778.095268  10116.883846
Treatment_FIN              2178.419017  1045.328691  ...    125.335512   4231.502523
Treatment_MKT              3510.365444  1191.180881  ...   1170.820152   5849.910736
Gender                    -1626.339181  1111.683094  ...  -3809.746411    557.068049
Age                         -34.693622    65.138425  ...   -162.629101     93.241856
Children_total              182.683197   361.014464  ...   -526.369227    891.735620
Race_SAblackcolored        2643.151731  4984.809153  ...  -7147.289814  12433.593276
Race_Foreigner             1219.779437  4945.408828  ...  -8493.277684  10932.836559
Educ_high                  2585.305438  1058.326799  ...    506.692929   4663.917946
Operating_yearstotal        184.776638    78.519041  ...     30.560887    338.992388
Activity_Hours              -36.281134    22.631708  ...    -80.731063      8.168795
pre_Employees1_composite   1524.091450   256.605068  ...   1020.104870   2028.078031
FormalReg                 -1353.937864  1068.657811  ...  -3452.841053    744.965325
pre_Profits3_composite_w1     0.556183     0.116697  ...      0.326983      0.785382
Ind2_SIC15                   46.669886  5941.846677  ... -11623.446415  11716.786187
Ind2_SIC17                -5819.089911  3443.823818  ... -12582.950822    944.771000
Ind2_SIC23                -1280.642522  2286.928879  ...  -5772.297633   3211.012589
Ind2_SIC25                 4151.956430  7382.811373  ... -10348.294424  18652.207285
Ind2_SIC34                -2731.173262  2307.955256  ...  -7264.125343   1801.778820
Ind2_SIC41                  291.509830  3854.512473  ...  -7278.966370   7861.986030
Ind2_SIC54                  699.880626  2211.288245  ...  -3643.212086   5042.973337
Ind2_SIC56                -1361.974950  2215.557555  ...  -5713.452823   2989.502923
Ind2_SIC57                 5180.314487  3790.944557  ...  -2265.310801  12625.939775
Ind2_SIC58                -2191.861100  2345.593075  ...  -6798.735943   2415.013744
Ind2_SIC59                  846.657324  2628.191281  ...  -4315.256063   6008.570712
Ind2_SIC72                -1804.500042  1915.052111  ...  -5565.768562   1956.768478
Ind2_SIC73                -4895.656712  2346.384875  ...  -9504.086694   -287.226729
Ind2_SIC75                 3282.621764  3902.141161  ...  -4381.399819  10946.643346
Ind2_SIC76                -2023.989841  2138.876274  ...  -6224.861428   2176.881746
Ind2_SIC83                -5302.504628  2839.668208  ... -10879.770426    274.761171

[30 rows x 6 columns]
