Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 10pct
Method: Iter
Iteration: 20
---
FocalIV: Treatment_FIN
Coef: 2240.174882
SE: 1052.894166
pval: 0.033788
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2367.045955  5520.346615  ... -13209.312767   8475.220856
Treatment_FIN              2240.174882  1052.894166  ...    172.232365   4308.117399
Treatment_MKT              3515.701629  1186.494482  ...   1185.360684   5846.042574
Gender                    -1652.087841  1114.648320  ...  -3841.318939    537.143258
Age                         -12.418731    60.052623  ...   -130.365412    105.527950
Children_total              180.147352   361.015831  ...   -528.907755    889.202459
Race_SAblackcolored        2978.494812  4922.671814  ...  -6689.905553  12646.895177
Race_Foreigner             1514.088324  4892.656064  ...  -8095.359445  11123.536093
Educ_high                  2588.660120  1046.660351  ...    532.961161   4644.359080
Operating_yearstotal        165.517454    78.804875  ...     10.740311    320.294597
Activity_Hours              -34.476502    22.480993  ...    -78.630419      9.677416
pre_Employees1_composite   1521.191396   259.977996  ...   1010.580198   2031.802595
FormalReg                 -1368.331913  1064.342077  ...  -3458.758761    722.094936
pre_Profits3_composite_w1     0.546515     0.115053  ...      0.320543      0.772486
Ind2_SIC15                  196.903193  5919.050666  ... -11428.440478  11822.246865
Ind2_SIC17                -6141.179600  3450.500603  ... -12918.154087    635.794887
Ind2_SIC23                -1291.433518  2270.652480  ...  -5751.120878   3168.253841
Ind2_SIC25                 4083.924964  7414.991626  ... -10479.529691  18647.379619
Ind2_SIC34                -3933.011620  2712.431283  ...  -9260.377043   1394.353802
Ind2_SIC41                  159.910132  3854.597050  ...  -7410.732180   7730.552445
Ind2_SIC54                  698.159671  2190.283533  ...  -3603.678621   4999.997963
Ind2_SIC56                -1480.025671  2224.253834  ...  -5848.583518   2888.532176
Ind2_SIC57                 5121.645526  3821.809813  ...  -2384.600836  12627.891888
Ind2_SIC58                -2333.662770  2309.756161  ...  -6870.151928   2202.826387
Ind2_SIC59                  661.221392  2621.914576  ...  -4488.364200   5810.806984
Ind2_SIC72                -1659.524852  1907.447312  ...  -5405.857126   2086.807422
Ind2_SIC73                -4919.002397  2354.894163  ...  -9544.145093   -293.859701
Ind2_SIC75                 3347.083109  3961.378051  ...  -4433.283010  11127.449227
Ind2_SIC76                -2263.602555  2151.675212  ...  -6489.611965   1962.406855
Ind2_SIC83                -5607.073979  2819.542643  ... -11144.812051    -69.335907

[30 rows x 6 columns]
