Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 10pct
Method: LD
Iteration: 22
---
FocalIV: Treatment_FIN
Coef: 1959.313746
SE: 1078.711528
pval: 0.069893
Nobs: 550
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1418.332759  6059.031038  ... -13321.520394  10484.854876
Treatment_FIN              1959.313746  1078.711528  ...   -159.854424   4078.481916
Treatment_MKT              3737.830219  1277.404350  ...   1228.322746   6247.337691
Gender                    -2010.886817  1140.118921  ...  -4250.692053    228.918418
Age                         -35.228732    70.847896  ...   -174.412010    103.954546
Children_total              541.995107   348.858496  ...   -143.350142   1227.340356
Race_SAblackcolored        2791.620672  5221.523764  ...  -7466.253353  13049.494697
Race_Foreigner             1451.694042  5172.951333  ...  -8710.757669  11614.145754
Educ_high                  2666.089036  1088.565183  ...    527.563000   4804.615071
Operating_yearstotal        239.406105    97.428728  ...     48.003814    430.808397
Activity_Hours              -43.179154    25.217202  ...    -92.719268      6.360959
pre_Employees1_composite   1414.216384   251.603044  ...    919.933021   1908.499747
FormalReg                  -900.112328  1050.839725  ...  -2964.525325   1164.300669
pre_Profits3_composite_w1     0.531944     0.119460  ...      0.297259      0.766628
Ind2_SIC15                 2033.597724  6510.563357  ... -10756.641633  14823.837081
Ind2_SIC17                -5961.892710  3705.452069  ... -13241.388553   1317.603133
Ind2_SIC23                -2136.654040  2539.874717  ...  -7126.330630   2853.022550
Ind2_SIC25                -3498.083426  3600.479199  ... -10571.356234   3575.189382
Ind2_SIC34                -3636.127372  2956.561226  ...  -9444.399817   2172.145074
Ind2_SIC41                 -283.283645  4307.030189  ...  -8744.601662   8178.034372
Ind2_SIC54                  614.464879  2466.828716  ...  -4231.710175   5460.639932
Ind2_SIC56                -1964.691986  2486.378720  ...  -6849.273736   2919.889764
Ind2_SIC57                 5412.197843  4048.277859  ...  -2540.791776  13365.187463
Ind2_SIC58                -3014.188546  2359.064324  ...  -7648.656518   1620.279425
Ind2_SIC59                  613.941689  3124.658770  ...  -5524.564518   6752.447897
Ind2_SIC72                -1780.018104  2107.450699  ...  -5920.181927   2360.145718
Ind2_SIC73                -5185.101238  2563.646747  ... -10221.478849   -148.723628
Ind2_SIC75                 2943.667678  4026.918091  ...  -4967.359898  10854.695255
Ind2_SIC76                -2977.865675  2371.266143  ...  -7636.304567   1680.573218
Ind2_SIC83                -5464.622192  3148.111848  ... -11649.202827    719.958443

[30 rows x 6 columns]
