Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 1pct
Method: LD
Iteration: 3
---
FocalIV: Treatment_FIN
Coef: 2077.451314
SE: 1052.326585
pval: 0.048843
Nobs: 605
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1056.344058  5815.512977  ... -12478.582767  10365.894651
Treatment_FIN              2077.451314  1052.326585  ...     10.578537   4144.324091
Treatment_MKT              3428.945847  1210.433781  ...   1051.535007   5806.356686
Gender                    -1590.331554  1128.515855  ...  -3806.847540    626.184432
Age                         -37.686386    65.537460  ...   -166.408395     91.035624
Children_total              189.793374   360.675299  ...   -518.608340    898.195088
Race_SAblackcolored        2567.441325  4970.015053  ...  -7194.156412  12329.039063
Race_Foreigner              886.039231  4932.930599  ...  -8802.720997  10574.799458
Educ_high                  2591.111797  1071.697988  ...    486.191682   4696.031912
Operating_yearstotal        177.296581    78.600795  ...     22.916900    331.676262
Activity_Hours              -37.788596    22.718693  ...    -82.410339      6.833148
pre_Employees1_composite   1512.912808   258.101362  ...   1005.976381   2019.849235
FormalReg                 -1393.986655  1078.951196  ...  -3513.152782    725.179472
pre_Profits3_composite_w1     0.559077     0.116604  ...      0.330054      0.788099
Ind2_SIC15                   86.627603  6167.615422  ... -12027.174893  12200.430098
Ind2_SIC17                -5964.966727  3494.759849  ... -12829.018340    899.084886
Ind2_SIC23                 -985.997548  2311.889728  ...  -5526.776057   3554.780961
Ind2_SIC25                 4265.545928  7389.046845  ... -10247.267858  18778.359713
Ind2_SIC34                -2253.498320  2353.714601  ...  -6876.424986   2369.428347
Ind2_SIC41                  391.877659  3866.460030  ...  -7202.229620   7985.984937
Ind2_SIC54                  957.889727  2226.824532  ...  -3415.812381   5331.591834
Ind2_SIC56                -1315.247070  2246.794505  ...  -5728.172167   3097.678028
Ind2_SIC57                 5416.259587  3806.049110  ...  -2059.194711  12891.713885
Ind2_SIC58                -2100.785089  2364.243313  ...  -6744.391182   2542.821003
Ind2_SIC59                  928.053795  2650.214081  ...  -4277.226974   6133.334564
Ind2_SIC72                -1498.810514  1940.870813  ...  -5310.871431   2313.250403
Ind2_SIC73                -4777.915080  2389.020192  ...  -9470.185396    -85.644765
Ind2_SIC75                 3574.553231  3911.909609  ...  -4108.821484  11257.927945
Ind2_SIC76                -1976.376979  2202.142445  ...  -6301.601044   2348.847085
Ind2_SIC83                -5264.799236  2859.200794  ... -10880.550438    350.951965

[30 rows x 6 columns]
