Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 20pct
Method: Mean
Iteration: 28
---
FocalIV: Treatment_FIN
Coef: 2251.843636
SE: 1055.141879
pval: 0.033248
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -3831.713186  6120.863324  ... -15853.428108   8190.001736
Treatment_FIN              2251.843636  1055.141879  ...    179.486486   4324.200786
Treatment_MKT              3527.210051  1193.760798  ...   1182.597658   5871.822443
Gender                    -1517.542396  1111.770054  ...  -3701.120421    666.035628
Age                         -29.702172    66.504870  ...   -160.321424    100.917079
Children_total              159.325449   354.349382  ...   -536.636382    855.287280
Race_SAblackcolored        3192.935742  5122.745268  ...  -6868.419980  13254.291464
Race_Foreigner             1498.245330  5050.692149  ...  -8421.594072  11418.084732
Educ_high                  2529.468331  1060.596001  ...    446.398983   4612.537679
Operating_yearstotal        165.063061    78.918179  ...     10.063382    320.062740
Activity_Hours                5.556174    18.528579  ...    -30.834983     41.947331
pre_Employees1_composite   1521.297459   261.722544  ...   1007.259872   2035.335045
FormalReg                 -1305.546738  1076.788281  ...  -3420.418621    809.325145
pre_Profits3_composite_w1     0.545520     0.115131  ...      0.319397      0.771643
Ind2_SIC15                  124.641782  5937.395667  ... -11536.732490  11786.016054
Ind2_SIC17                -5975.022507  3451.834358  ... -12754.616563    804.571549
Ind2_SIC23                -1376.045690  2305.668331  ...  -5904.506123   3152.414743
Ind2_SIC25                 3878.637867  7446.461078  ... -10746.624537  18503.900270
Ind2_SIC34                -4095.466662  2751.555141  ...  -9499.673511   1308.740186
Ind2_SIC41                   12.496110  3932.460395  ...  -7711.074129   7736.066349
Ind2_SIC54                  199.606738  2299.562508  ...  -4316.861520   4716.074995
Ind2_SIC56                -1643.180788  2256.633318  ...  -6075.333736   2788.972161
Ind2_SIC57                 4932.461801  3838.268615  ...  -2606.110560  12471.034163
Ind2_SIC58                -2680.762110  2432.218739  ...  -7457.774560   2096.250340
Ind2_SIC59                  690.380569  2651.503849  ...  -4517.319996   5898.081134
Ind2_SIC72                -2128.681084  1990.457884  ...  -6038.050723   1780.688554
Ind2_SIC73                -5166.318275  2388.641882  ...  -9857.743361   -474.893188
Ind2_SIC75                 2869.789676  4031.876026  ...  -5049.038375  10788.617728
Ind2_SIC76                -2488.459857  2207.421671  ...  -6823.958403   1847.038690
Ind2_SIC83                -5468.223850  2836.032877  ... -11038.349656    101.901955

[30 rows x 6 columns]
