Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 20pct
Method: RF
Iteration: 8
---
FocalIV: Treatment_FIN
Coef: 2250.916324
SE: 1053.837418
pval: 0.033103
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1122.404396  5811.495834  ... -12536.504416  10291.695624
Treatment_FIN              2250.916324  1053.837418  ...    181.121207   4320.711441
Treatment_MKT              3546.751839  1195.995459  ...   1197.750448   5895.753229
Gender                    -1653.673434  1093.396115  ...  -3801.164024    493.817155
Age                         -38.081939    64.644385  ...   -165.047095     88.883218
Children_total              204.444778   361.948128  ...   -506.441412    915.330967
Race_SAblackcolored        2617.602389  4967.631884  ...  -7139.102047  12374.306825
Race_Foreigner             1148.966986  4942.782116  ...  -8558.931128  10856.865100
Educ_high                  2535.104165  1048.873525  ...    475.058410   4595.149920
Operating_yearstotal        181.895170    79.439532  ...     25.871525    337.918816
Activity_Hours              -34.612880    22.906145  ...    -79.601818     10.376059
pre_Employees1_composite   1519.541202   259.708953  ...   1009.458419   2029.623986
FormalReg                 -1312.368621  1060.812982  ...  -3395.864131    771.126889
pre_Profits3_composite_w1     0.546029     0.114514  ...      0.321118      0.770940
Ind2_SIC15                  183.141424  5900.828488  ... -11406.412879  11772.695728
Ind2_SIC17                -6177.084618  3469.194657  ... -12990.775263    636.606028
Ind2_SIC23                -1287.118886  2250.321909  ...  -5706.875878   3132.638105
Ind2_SIC25                 3977.881110  7415.188801  ... -10585.960808  18541.723029
Ind2_SIC34                -3965.986187  2708.108798  ...  -9284.862009   1352.889635
Ind2_SIC41                  245.538434  3879.145871  ...  -7373.319125   7864.395993
Ind2_SIC54                  729.407102  2195.246812  ...  -3582.179347   5040.993550
Ind2_SIC56                -1464.531389  2213.491265  ...  -5811.950953   2882.888175
Ind2_SIC57                 5047.615894  3814.384744  ...  -2444.047221  12539.279009
Ind2_SIC58                -2280.134827  2318.619471  ...  -6834.032016   2273.762362
Ind2_SIC59                  648.267479  2531.118597  ...  -4322.989777   5619.524735
Ind2_SIC72                -1787.770730  1929.053826  ...  -5576.539394   2000.997934
Ind2_SIC73                -5024.038023  2327.928885  ...  -9596.219419   -451.856628
Ind2_SIC75                 3297.807944  3931.118811  ...  -4423.127350  11018.743238
Ind2_SIC76                -2286.971251  2145.945298  ...  -6501.726792   1927.784290
Ind2_SIC83                -5465.659266  2824.656077  ... -11013.440407     82.121874

[30 rows x 6 columns]
