Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 20pct
Method: Mean
Iteration: 3
---
FocalIV: Treatment_FIN
Coef: 1889.605613
SE: 1057.819304
pval: 0.074569
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -448.436764  6744.087695  ... -13694.198903  12797.325374
Treatment_FIN              1889.605613  1057.819304  ...   -188.010147   3967.221373
Treatment_MKT              3152.419735  1212.449335  ...    771.102021   5533.737448
Gender                    -1468.426714  1112.389057  ...  -3653.220495    716.367067
Age                         -51.289565    66.236542  ...   -181.381807     78.802677
Children_total              214.016574   363.337800  ...   -499.599010    927.632158
Race_SAblackcolored        1410.459003  5804.717333  ...  -9990.327664  12811.245671
Race_Foreigner              -24.021649  5753.342019  ... -11323.904351  11275.861054
Educ_high                  2979.905461  1063.687995  ...    890.763267   5069.047656
Operating_yearstotal        211.456002    84.049132  ...     46.378847    376.533157
Activity_Hours              -37.545844    23.416629  ...    -83.537401      8.445714
pre_Employees1_composite   1587.441086   257.235545  ...   1082.216214   2092.665958
FormalReg                  -703.044604  1079.489885  ...  -2823.222588   1417.133380
pre_Profits3_composite_w1     0.536077     0.128042  ...      0.284596      0.787558
Ind2_SIC15                  356.241380  5861.948545  ... -11156.950561  11869.433322
Ind2_SIC17                -5899.896961  3419.471409  ... -12615.928390    816.134468
Ind2_SIC23                 -759.276249  2295.344975  ...  -5267.461039   3748.908541
Ind2_SIC25                 4519.417827  7406.876634  ... -10028.098535  19066.934189
Ind2_SIC34                -4037.322309  2750.286774  ...  -9439.038015   1364.393396
Ind2_SIC41                  882.177159  3833.195967  ...  -6646.432239   8410.786558
Ind2_SIC54                  964.595456  2207.251963  ...  -3370.569774   5299.760687
Ind2_SIC56                 -818.158251  2188.449720  ...  -5116.394833   3480.078331
Ind2_SIC57                 5539.352017  3822.595995  ...  -1968.438450  13047.142483
Ind2_SIC58                -1686.489009  2345.893810  ...  -6293.954513   2920.976494
Ind2_SIC59                 1475.021696  2609.195518  ...  -3649.582960   6599.626352
Ind2_SIC72                -1404.921625  1913.610908  ...  -5163.359542   2353.516292
Ind2_SIC73                -4904.423130  2412.828979  ...  -9643.353017   -165.493243
Ind2_SIC75                 6096.655243  5713.669215  ...  -5125.307873  17318.618358
Ind2_SIC76                -1394.853312  2175.426361  ...  -5667.511295   2877.804671
Ind2_SIC83                -4462.557759  2865.962903  ... -10091.467796   1166.352278

[30 rows x 6 columns]
