Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 30pct
Method: RF
Iteration: 5
---
FocalIV: Treatment_FIN
Coef: 2260.555842
SE: 1047.845432
pval: 0.031389
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2905.026066  5854.759621  ... -14404.098562   8594.046430
Treatment_FIN              2260.555842  1047.845432  ...    202.529320   4318.582365
Treatment_MKT              3543.434525  1196.774103  ...   1192.903834   5893.965215
Gender                    -1560.493679  1107.692315  ...  -3736.062798    615.075441
Age                         -30.779970    65.790253  ...   -159.995675     98.435736
Children_total              172.407496   355.326730  ...   -525.473902    870.288894
Race_SAblackcolored        3069.205553  5033.597656  ...  -6817.059317  12955.470423
Race_Foreigner             1467.422516  5001.573467  ...  -8355.945070  11290.790102
Educ_high                  2526.415649  1061.161779  ...    442.235082   4610.596216
Operating_yearstotal        169.381477    77.907805  ...     16.366228    322.396726
Activity_Hours              -11.076994    27.752105  ...    -65.583668     43.429680
pre_Employees1_composite   1519.490380   261.075182  ...   1006.724249   2032.256512
FormalReg                 -1284.886832  1062.683381  ...  -3372.055908    802.282245
pre_Profits3_composite_w1     0.545765     0.115333  ...      0.319243      0.772286
Ind2_SIC15                  166.593497  5918.825179  ... -11458.307307  11791.494301
Ind2_SIC17                -6011.489772  3489.524565  ... -12865.109485    842.129941
Ind2_SIC23                -1335.797003  2277.733437  ...  -5809.391755   3137.797748
Ind2_SIC25                 3892.760812  7450.744386  ... -10740.914246  18526.435869
Ind2_SIC34                -3995.426989  2695.889192  ...  -9290.302828   1299.448851
Ind2_SIC41                   30.493491  3896.386127  ...  -7622.224885   7683.211867
Ind2_SIC54                  404.582607  2166.417603  ...  -3850.381675   4659.546889
Ind2_SIC56                -1575.883757  2203.601200  ...  -5903.878685   2752.111172
Ind2_SIC57                 5020.790905  3797.726492  ...  -2438.154480  12479.736289
Ind2_SIC58                -2527.786614  2317.927003  ...  -7080.323758   2024.750530
Ind2_SIC59                  685.287487  2660.787693  ...  -4540.647062   5911.222036
Ind2_SIC72                -1967.039331  1885.631565  ...  -5670.524268   1736.445607
Ind2_SIC73                -5101.505689  2348.527899  ...  -9714.144690   -488.866689
Ind2_SIC75                 2939.597346  3990.654562  ...  -4898.269464  10777.464155
Ind2_SIC76                -2382.259183  2130.298838  ...  -6566.284208   1801.765842
Ind2_SIC83                -5450.735308  2820.247373  ... -10989.857510     88.386894

[30 rows x 6 columns]
