Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 30pct
Method: Mean
Iteration: 10
---
FocalIV: Treatment_FIN
Coef: 2240.946961
SE: 1052.643767
pval: 0.033685
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2753.551736  5898.923803  ... -14339.365134   8832.261662
Treatment_FIN              2240.946961  1052.643767  ...    173.496242   4308.397680
Treatment_MKT              3504.982692  1186.690806  ...   1174.256156   5835.709228
Gender                    -1668.159900  1115.537867  ...  -3859.138118    522.818317
Age                          -3.973325    70.755256  ...   -142.940571    134.993922
Children_total              174.432422   362.432880  ...   -537.405848    886.270692
Race_SAblackcolored        3053.139837  5018.165783  ...  -6802.815979  12909.095652
Race_Foreigner             1572.132857  4980.931960  ...  -8210.693665  11354.959379
Educ_high                  2621.849590  1040.403427  ...    578.439576   4665.259604
Operating_yearstotal        160.550905    78.699020  ...      5.981666    315.120143
Activity_Hours              -34.130136    22.609202  ...    -78.535862     10.275590
pre_Employees1_composite   1520.943252   260.635078  ...   1009.041509   2032.844996
FormalReg                 -1393.569763  1067.228529  ...  -3489.665764    702.526238
pre_Profits3_composite_w1     0.547051     0.115137  ...      0.320915      0.773186
Ind2_SIC15                  206.079719  5950.230203  ... -11480.502293  11892.661731
Ind2_SIC17                -6123.552648  3456.367454  ... -12912.049956    664.944661
Ind2_SIC23                -1298.071593  2309.988427  ...  -5835.016935   3238.873748
Ind2_SIC25                 4087.831932  7419.647783  ... -10484.767674  18660.431538
Ind2_SIC34                -3916.483750  2768.878846  ...  -9354.715316   1521.747816
Ind2_SIC41                  159.161502  3910.428365  ...  -7521.136609   7839.459614
Ind2_SIC54                  690.837364  2207.698571  ...  -3645.205029   5026.879756
Ind2_SIC56                -1494.316864  2187.814834  ...  -5791.306496   2802.672768
Ind2_SIC57                 5147.183268  3833.646972  ...  -2382.311929  12676.678466
Ind2_SIC58                -2340.700590  2346.795566  ...  -6949.937193   2268.536013
Ind2_SIC59                  614.089171  2560.617945  ...  -4415.106439   5643.284781
Ind2_SIC72                -1608.893893  1924.597364  ...  -5388.909820   2171.122033
Ind2_SIC73                -4905.206047  2354.275826  ...  -9529.134296   -281.277799
Ind2_SIC75                 3328.824508  3953.466735  ...  -4436.003348  11093.652365
Ind2_SIC76                -2259.889203  2153.801428  ...  -6490.074619   1970.296213
Ind2_SIC83                -5660.930224  2756.756535  ... -11075.352898   -246.507549

[30 rows x 6 columns]
