Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 30pct
Method: Iter
Iteration: 1
---
FocalIV: Treatment_FIN
Coef: 1710.936612
SE: 1101.220712
pval: 0.120807
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  2508.498430  6486.184591  ... -10230.727715  15247.724574
Treatment_FIN              1710.936612  1101.220712  ...   -451.921922   3873.795145
Treatment_MKT              2376.321364  1235.554297  ...    -50.375777   4803.018505
Gender                    -1272.097528  1165.937900  ...  -3562.064207   1017.869150
Age                         -49.407045    68.156739  ...   -183.270660     84.456569
Children_total              292.553472   377.521434  ...   -448.919556   1034.026499
Race_SAblackcolored         422.697908  5666.238738  ... -10706.109122  11551.504937
Race_Foreigner            -1170.692477  5626.964819  ... -12222.363352   9880.978397
Educ_high                  2200.429527  1062.869010  ...    112.895864   4287.963191
Operating_yearstotal        178.851317    81.016323  ...     19.730767    337.971867
Activity_Hours              -33.824566    22.997646  ...    -78.993217     11.344086
pre_Employees1_composite   1706.472625   278.750454  ...   1158.991279   2253.953972
FormalReg                  -884.844908  1137.923046  ...  -3119.788860   1350.099044
pre_Profits3_composite_w1     0.437534     0.102988  ...      0.235259      0.639810
Ind2_SIC15                 1249.554031  5845.333546  ... -10231.005130  12730.113192
Ind2_SIC17                -5744.725090  3263.726637  ... -12154.865152    665.414972
Ind2_SIC23                -1559.534447  2374.498365  ...  -6223.180883   3104.111988
Ind2_SIC25                 4017.219666  7495.023578  ... -10703.422180  18737.861512
Ind2_SIC34                -4467.575281  2736.781396  ...  -9842.765675    907.615114
Ind2_SIC41                    8.822768  4646.966562  ...  -9118.077197   9135.722732
Ind2_SIC54                  -12.121135  2311.786944  ...  -4552.598863   4528.356593
Ind2_SIC56                -1475.984284  2303.267076  ...  -5999.728519   3047.759951
Ind2_SIC57                 4414.343675  4141.749083  ...  -3720.281151  12548.968500
Ind2_SIC58                -2807.100462  2471.860954  ...  -7661.972422   2047.771498
Ind2_SIC59                  325.444558  3520.745330  ...  -6589.494467   7240.383583
Ind2_SIC72                -2842.106622  2085.479643  ...  -6938.104265   1253.891020
Ind2_SIC73                -5613.646294  2476.575150  ... -10477.777194   -749.515394
Ind2_SIC75                 2407.394713  4250.070755  ...  -5939.979882  10754.769307
Ind2_SIC76                -2703.893428  2292.879189  ...  -7207.235276   1799.448420
Ind2_SIC83                -6541.631707  3081.330029  ... -12593.534719   -489.728696

[30 rows x 6 columns]
