Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 30pct
Method: Reg
Iteration: 10
---
FocalIV: Treatment_FIN
Coef: 2607.976289
SE: 1109.900386
pval: 0.019120
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1849.153950  5909.096392  ... -13454.946875   9756.638976
Treatment_FIN              2607.976289  1109.900386  ...    428.070396   4787.882182
Treatment_MKT              3950.113741  1220.293334  ...   1553.389977   6346.837505
Gender                     -816.770173  1125.111820  ...  -3026.552165   1393.011820
Age                         -63.862268    67.533986  ...   -196.502760     68.778223
Children_total              335.703195   349.717721  ...   -351.161799   1022.568189
Race_SAblackcolored        3431.616296  5121.185947  ...  -6626.676833  13489.909425
Race_Foreigner             1694.673232  5057.532890  ...  -8238.601765  11627.948229
Educ_high                  2628.438720  1045.097059  ...    575.810153   4681.067287
Operating_yearstotal        192.143620    86.514856  ...     22.223647    362.063594
Activity_Hours              -40.988411    22.868404  ...    -85.903225      3.926403
pre_Employees1_composite   1662.470151   270.988797  ...   1130.233129   2194.707172
FormalReg                 -1606.005718  1107.946713  ...  -3782.074489    570.063052
pre_Profits3_composite_w1     0.539867     0.109710  ...      0.324391      0.755344
Ind2_SIC15                 1836.776360  5889.368153  ...  -9730.269210  13403.821931
Ind2_SIC17                -4587.392111  3140.316285  ... -10755.147400   1580.363178
Ind2_SIC23                -1357.158412  2427.680873  ...  -6125.258242   3410.941419
Ind2_SIC25                 3694.702817  7220.495514  ... -10486.750691  17876.156326
Ind2_SIC34                -4386.427453  2873.366964  ... -10029.879475   1257.024569
Ind2_SIC41                 -581.445277  4138.825082  ...  -8710.327203   7547.436648
Ind2_SIC54                 1400.794851  2261.253464  ...  -3040.432321   5842.022022
Ind2_SIC56                -2077.564969  2341.454174  ...  -6676.310782   2521.180845
Ind2_SIC57                 4005.275997  4194.873221  ...  -4233.687581  12244.239575
Ind2_SIC58                -2535.891442  2436.178745  ...  -7320.681564   2248.898681
Ind2_SIC59                 1957.772761  2660.665697  ...  -3267.922180   7183.467703
Ind2_SIC72                -2187.875893  2063.014848  ...  -6239.751433   1863.999646
Ind2_SIC73                -5062.564065  2447.407164  ...  -9869.407425   -255.720704
Ind2_SIC75                 5446.821650  4698.352733  ...  -3781.003604  14674.646903
Ind2_SIC76                -1982.526363  2226.932421  ...  -6356.345103   2391.292378
Ind2_SIC83                -5046.075397  3056.646355  ... -11049.498304    957.347510

[30 rows x 6 columns]
