Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 40pct
Method: LD
Iteration: 11
---
FocalIV: Treatment_FIN
Coef: 2148.806793
SE: 1493.335277
pval: 0.151098
Nobs: 367
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -500.638979  9855.322201  ... -19886.336502  18885.058544
Treatment_FIN              2148.806793  1493.335277  ...   -788.625937   5086.239522
Treatment_MKT              3142.551739  1664.187379  ...   -130.951906   6416.055383
Gender                    -2724.179142  1493.992698  ...  -5662.905036    214.546752
Age                          19.672075    90.746546  ...   -158.828947    198.173097
Children_total             -176.190197   505.977278  ...  -1171.461815    819.081421
Race_SAblackcolored        2507.613121  8885.115760  ... -14969.660892  19984.887134
Race_Foreigner             1133.657219  8766.753429  ... -16110.794741  18378.109178
Educ_high                  2635.705125  1416.181928  ...   -149.964784   5421.375033
Operating_yearstotal        154.502064   105.165500  ...    -52.361450    361.365578
Activity_Hours              -31.123480    31.592473  ...    -93.266768     31.019808
pre_Employees1_composite   1677.933783   314.913093  ...   1058.490821   2297.376744
FormalReg                 -2091.847071  1524.321194  ...  -5090.229976    906.535833
pre_Profits3_composite_w1     0.514303     0.160857  ...      0.197892      0.830714
Ind2_SIC15                -2592.557651  6827.194027  ... -16021.841408  10836.726105
Ind2_SIC17                -5683.910019  5051.181972  ... -15619.727829   4251.907791
Ind2_SIC23                -2666.606342  3428.264802  ...  -9410.100175   4076.887491
Ind2_SIC25                 3791.862375  9256.739365  ... -14416.405780  22000.130529
Ind2_SIC34                -3224.757628  3899.975806  ... -10896.120347   4446.605091
Ind2_SIC41                -1842.809768  4854.555696  ... -11391.858131   7706.238595
Ind2_SIC54                -1916.562957  2957.349288  ...  -7733.752655   3900.626741
Ind2_SIC56                -3543.218397  3050.701679  ...  -9544.034887   2457.598093
Ind2_SIC57                 1947.712819  3889.808311  ...  -5703.650152   9599.075789
Ind2_SIC58                -3448.998560  3642.253709  ... -10613.414627   3715.417506
Ind2_SIC59                 -559.372333  3334.583924  ...  -7118.593229   5999.848563
Ind2_SIC72                -3921.189406  2753.568075  ...  -9337.535694   1495.156881
Ind2_SIC73                -4963.644660  3257.473995  ... -11371.188145   1443.898826
Ind2_SIC75                 1285.621630  5166.986226  ...  -8877.986422  11449.229683
Ind2_SIC76                -3035.966901  2941.090980  ...  -8821.176047   2749.242245
Ind2_SIC83                -6025.191894  3572.507356  ... -13052.414910   1002.031122

[30 rows x 6 columns]
