Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 40pct
Method: Reg
Iteration: 8
---
FocalIV: Treatment_FIN
Coef: 2238.632231
SE: 1049.257037
pval: 0.033299
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1223.038609  5867.805300  ... -12747.733542  10301.656323
Treatment_FIN              2238.632231  1049.257037  ...    177.833236   4299.431225
Treatment_MKT              3466.028348  1181.863663  ...   1144.782588   5787.274108
Gender                    -1628.131149  1108.206412  ...  -3804.709984    548.447686
Age                         -34.457909    66.095952  ...   -164.274023     95.358205
Children_total              234.152012   355.729555  ...   -464.520557    932.824581
Race_SAblackcolored        2850.249862  4979.994510  ...  -6930.735457  12631.235181
Race_Foreigner             1418.232431  4945.312363  ...  -8294.635228  11131.100089
Educ_high                  2471.434129  1055.400878  ...    398.568290   4544.299968
Operating_yearstotal        185.508014    79.659380  ...     29.052575    341.963453
Activity_Hours              -38.535264    23.659911  ...    -85.004641      7.934113
pre_Employees1_composite   1517.858410   261.079808  ...   1005.083192   2030.633627
FormalReg                 -1274.088694  1068.992221  ...  -3373.648684    825.471295
pre_Profits3_composite_w1     0.548096     0.114655  ...      0.322907      0.773285
Ind2_SIC15                 -100.529054  5902.616617  ... -11693.595344  11492.537235
Ind2_SIC17                -6135.257706  3479.095682  ... -12968.394513    697.879101
Ind2_SIC23                -1299.045734  2287.867998  ...  -5792.545327   3194.453858
Ind2_SIC25                 4293.199969  7470.852099  ... -10379.967752  18966.367690
Ind2_SIC34                -4178.263753  2720.804848  ...  -9522.075322   1165.547817
Ind2_SIC41                  277.812718  3880.803859  ...  -7344.301220   7899.926656
Ind2_SIC54                  531.178033  2228.177050  ...  -3845.085228   4907.441293
Ind2_SIC56                -1601.146917  2242.075891  ...  -6004.708272   2802.414438
Ind2_SIC57                 5007.262171  3741.194800  ...  -2340.651836  12355.176178
Ind2_SIC58                -2402.140436  2367.657490  ...  -7052.351015   2248.070143
Ind2_SIC59                  653.753689  2636.715347  ...  -4524.901438   5832.408817
Ind2_SIC72                -1817.516975  1913.195946  ...  -5575.139884   1940.105933
Ind2_SIC73                -4996.523525  2353.745158  ...  -9619.409512   -373.637538
Ind2_SIC75                 3449.803459  3968.942859  ...  -4345.420363  11245.027280
Ind2_SIC76                -2276.936341  2182.871968  ...  -6564.217909   2010.345228
Ind2_SIC83                -5818.043220  2888.304430  ... -11490.833255   -145.253185

[30 rows x 6 columns]
