Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 40pct
Method: Reg
Iteration: 6
---
FocalIV: Treatment_FIN
Coef: 2096.037680
SE: 1029.464988
pval: 0.042199
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  5655.171260  6579.442179  ...  -7267.217957  18577.560476
Treatment_FIN              2096.037680  1029.464988  ...     74.111368   4117.963992
Treatment_MKT              3479.764569  1184.413675  ...   1153.510445   5806.018693
Gender                    -1390.163878  1061.220385  ...  -3474.459551    694.131795
Age                        -152.920706    59.323551  ...   -269.435450    -36.405963
Children_total              329.340574   371.899906  ...   -401.091460   1059.772608
Race_SAblackcolored         -78.090021  4919.560069  ...  -9740.378746   9584.198705
Race_Foreigner            -1459.048503  4944.157212  ... -11169.647382   8251.550377
Educ_high                  2318.174360  1001.081988  ...    351.993833   4284.354886
Operating_yearstotal        262.576528    95.601741  ...     74.809408    450.343648
Activity_Hours              -41.217690    23.928135  ...    -88.213873      5.778493
pre_Employees1_composite   1522.380424   259.829145  ...   1012.061579   2032.699270
FormalReg                 -1163.079292   997.647570  ...  -3122.514432    796.355847
pre_Profits3_composite_w1     0.537112     0.112784  ...      0.315597      0.758627
Ind2_SIC15                  370.491172  5854.196865  ... -11127.476040  11868.458385
Ind2_SIC17                -6113.339314  3427.244723  ... -12844.637964    617.959336
Ind2_SIC23                 -550.813406  2081.437059  ...  -4638.871188   3537.244376
Ind2_SIC25                 3947.334267  7454.730529  ... -10694.169797  18588.838332
Ind2_SIC34                -4169.295581  2733.893169  ...  -9538.813337   1200.222176
Ind2_SIC41                  395.849198  3848.790902  ...  -7163.389519   7955.087914
Ind2_SIC54                  814.722200  2110.787204  ...  -3330.980895   4960.425294
Ind2_SIC56                -1430.740709  2158.763966  ...  -5670.672825   2809.191406
Ind2_SIC57                 4816.998888  3880.950872  ...  -2805.403793  12439.401569
Ind2_SIC58                -1509.711724  2142.204390  ...  -5717.119914   2697.696466
Ind2_SIC59                 1109.904390  2437.721082  ...  -3677.914968   5897.723747
Ind2_SIC72                -2366.293021  2164.070140  ...  -6616.646757   1884.060714
Ind2_SIC73                -5105.213944  2397.605819  ...  -9814.244700   -396.183188
Ind2_SIC75                 3186.185242  3925.005229  ...  -4522.742638  10895.113121
Ind2_SIC76                -2170.656987  2116.659194  ...  -6327.892996   1986.579022
Ind2_SIC83                -5152.126694  2590.203946  ... -10239.430851    -64.822537

[30 rows x 6 columns]
