Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 40pct
Method: DL
Iteration: 10
---
FocalIV: Treatment_FIN
Coef: 2183.400384
SE: 1051.270590
pval: 0.038248
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1694.930397  5883.351492  ... -13250.158912   9860.298117
Treatment_FIN              2183.400384  1051.270590  ...    118.646660   4248.154109
Treatment_MKT              3471.649301  1188.865987  ...   1136.650589   5806.648012
Gender                    -1525.577116  1111.979579  ...  -3709.566660    658.412427
Age                         -30.538199    65.762703  ...   -159.699793     98.623395
Children_total              211.285832   361.214719  ...   -498.159902    920.731566
Race_SAblackcolored        2756.759115  5024.740555  ...  -7112.109917  12625.628148
Race_Foreigner             1324.114437  4981.281376  ...  -8459.398359  11107.627232
Educ_high                  2504.231286  1055.217567  ...    431.725481   4576.737091
Operating_yearstotal        167.934054    73.467764  ...     23.639291    312.228817
Activity_Hours              -33.282746    22.568482  ...    -77.608497     11.043004
pre_Employees1_composite   1521.208880   258.552540  ...   1013.397356   2029.020403
FormalReg                 -1208.545328  1082.698004  ...  -3335.024234    917.933578
pre_Profits3_composite_w1     0.545518     0.115262  ...      0.319138      0.771899
Ind2_SIC15                  170.877264  5927.998652  ... -11472.040749  11813.795276
Ind2_SIC17                -6110.207792  3501.135165  ... -12986.631366    766.215783
Ind2_SIC23                 -970.223772  2265.635022  ...  -5420.056567   3479.609022
Ind2_SIC25                 4388.658123  7315.257831  ...  -9978.913829  18756.230076
Ind2_SIC34                -4050.548931  2731.449433  ...  -9415.267055   1314.169193
Ind2_SIC41                  271.809468  3765.076030  ...  -7123.008598   7666.627534
Ind2_SIC54                  793.421707  2198.654493  ...  -3524.857615   5111.701029
Ind2_SIC56                -1465.338872  2228.394142  ...  -5842.028513   2911.350770
Ind2_SIC57                 5042.643779  3834.266292  ...  -2488.067799  12573.355357
Ind2_SIC58                -2218.031251  2343.454411  ...  -6820.705640   2384.643138
Ind2_SIC59                  746.288414  2643.105344  ...  -4444.917020   5937.493848
Ind2_SIC72                -1723.938868  1906.927525  ...  -5469.250251   2021.372515
Ind2_SIC73                -5083.431221  2353.270736  ...  -9705.385417   -461.477024
Ind2_SIC75                 3546.915573  4117.101391  ...  -4539.299820  11633.130967
Ind2_SIC76                -2239.999424  2164.286800  ...  -6490.778692   2010.779844
Ind2_SIC83                -5668.856684  2826.790201  ... -11220.829361   -116.884007

[30 rows x 6 columns]
