Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 40pct
Method: Iter
Iteration: 15
---
FocalIV: Treatment_FIN
Coef: 2310.768290
SE: 1058.642314
pval: 0.029453
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1271.965232  5833.994553  ... -12730.253983  10186.323519
Treatment_FIN              2310.768290  1058.642314  ...    231.536092   4390.000488
Treatment_MKT              3569.829799  1193.652352  ...   1225.430402   5914.229196
Gender                    -1543.631715  1112.017021  ...  -3727.694797    640.431367
Age                         -41.193744    69.975129  ...   -178.628777     96.241288
Children_total              234.692210   359.876560  ...   -472.125306    941.509725
Race_SAblackcolored        2463.694451  4913.954763  ...  -7187.585145  12114.974046
Race_Foreigner             1141.997519  4868.170183  ...  -8419.358621  10703.353660
Educ_high                  2540.145078  1038.865197  ...    499.756235   4580.533922
Operating_yearstotal        203.150682    89.842314  ...     26.695396    379.605969
Activity_Hours              -33.796734    22.584296  ...    -78.153544     10.560075
pre_Employees1_composite   1483.755844   261.666166  ...    969.828988   1997.682701
FormalReg                 -1128.293453  1102.644958  ...  -3293.949283   1037.362378
pre_Profits3_composite_w1     0.548091     0.114345  ...      0.323512      0.772671
Ind2_SIC15                   83.474222  5917.706068  ... -11539.228585  11706.177029
Ind2_SIC17                -6248.211935  3494.820697  ... -13112.233544    615.809674
Ind2_SIC23                -1436.586398  2299.957943  ...  -5953.831313   3080.658518
Ind2_SIC25                 4005.535849  7484.029088  ... -10693.512210  18704.583909
Ind2_SIC34                -4155.477164  2730.132883  ...  -9517.609511   1206.655183
Ind2_SIC41                  220.256686  3745.934769  ...  -7136.966881   7577.480254
Ind2_SIC54                  820.609181  2189.841867  ...  -3480.361655   5121.580017
Ind2_SIC56                -1403.117069  2212.432803  ...  -5748.457757   2942.223618
Ind2_SIC57                 5153.341782  3816.092170  ...  -2341.674812  12648.358375
Ind2_SIC58                -2233.702811  2349.333426  ...  -6847.923912   2380.518290
Ind2_SIC59                  850.930802  2590.797145  ...  -4237.538430   5939.400035
Ind2_SIC72                -1621.666549  1885.848642  ...  -5325.577836   2082.244739
Ind2_SIC73                -4804.807056  2329.357732  ...  -9379.794787   -229.819326
Ind2_SIC75                 3224.292043  3963.376790  ...  -4559.999710  11008.583797
Ind2_SIC76                -2406.375860  2160.659393  ...  -6650.030699   1837.278979
Ind2_SIC83                -5264.731645  2835.042878  ... -10832.913038    303.449749

[30 rows x 6 columns]
