Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 40pct
Method: RF
Iteration: 26
---
FocalIV: Treatment_FIN
Coef: 1989.375536
SE: 1111.569277
pval: 0.074023
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -362.129547  6481.717007  ... -13092.581109  12368.322015
Treatment_FIN              1989.375536  1111.569277  ...   -193.808152   4172.559223
Treatment_MKT              2965.831834  1189.409603  ...    629.765430   5301.898237
Gender                    -1116.082721  1135.176316  ...  -3345.631942   1113.466500
Age                         -55.681117    66.658960  ...   -186.603011     75.240776
Children_total              141.657097   348.954439  ...   -543.708768    827.022961
Race_SAblackcolored        3078.810051  5843.187928  ...  -8397.534998  14555.155101
Race_Foreigner             1401.962266  5814.339471  ... -10017.722814  12821.647346
Educ_high                  2335.231954  1008.150950  ...    355.167595   4315.296314
Operating_yearstotal        162.263742    78.056977  ...      8.955511    315.571972
Activity_Hours              -32.743258    22.728082  ...    -77.382470     11.895955
pre_Employees1_composite   1459.063020   310.499633  ...    849.224526   2068.901515
FormalReg                  -774.565482  1128.666769  ...  -2991.329592   1442.198629
pre_Profits3_composite_w1     0.534696     0.101885  ...      0.334587      0.734804
Ind2_SIC15                 -781.143482  5504.662385  ... -11592.605596  10030.318631
Ind2_SIC17                -6922.543026  3637.803970  ... -14067.391710    222.305658
Ind2_SIC23                -2029.590094  2366.306744  ...  -6677.147732   2617.967543
Ind2_SIC25                 4538.065148  8156.905680  ... -11482.549844  20558.680140
Ind2_SIC34                -3650.031553  2762.834173  ...  -9076.391046   1776.327939
Ind2_SIC41                  611.342518  4110.634172  ...  -7462.170897   8684.855934
Ind2_SIC54                  337.926022  2290.129574  ...  -4160.015432   4835.867475
Ind2_SIC56                -2216.471522  2317.079947  ...  -6767.345000   2334.401957
Ind2_SIC57                 3832.697448  4086.633267  ...  -4193.676860  11859.071756
Ind2_SIC58                -2481.913827  2431.473819  ...  -7257.463214   2293.635560
Ind2_SIC59                  183.064218  2866.064503  ...  -5446.045366   5812.173801
Ind2_SIC72                -2265.092442  2058.493668  ...  -6308.088132   1777.903249
Ind2_SIC73                -4466.672673  2476.318059  ...  -9330.298633    396.953288
Ind2_SIC75                 2700.795838  4338.778236  ...  -5820.805167  11222.396844
Ind2_SIC76                -1793.567404  2320.034588  ...  -6350.243963   2763.109155
Ind2_SIC83                -6667.980294  3036.915509  ... -12632.650726   -703.309861

[30 rows x 6 columns]
