Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 50pct
Method: DL
Iteration: 14
---
FocalIV: Treatment_FIN
Coef: 2264.214053
SE: 1054.838986
pval: 0.032246
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -5150.928303  6244.537638  ... -17415.546433   7113.689827
Treatment_FIN              2264.214053  1054.838986  ...    192.451802   4335.976303
Treatment_MKT              3523.078045  1192.078655  ...   1181.769474   5864.386616
Gender                    -1467.157595  1099.538164  ...  -3626.711510    692.396319
Age                         -25.646996    66.568263  ...   -156.390754    105.096763
Children_total              103.351085   355.501531  ...   -594.873633    801.575803
Race_SAblackcolored        3421.038539  5102.194488  ...  -6599.954311  13442.031389
Race_Foreigner             1641.966864  5024.210545  ...  -8225.861199  11509.794926
Educ_high                  2561.746897  1068.679911  ...    462.800303   4660.693492
Operating_yearstotal        150.400078    79.158555  ...     -5.071713    305.871869
Activity_Hours               28.314588    24.756258  ...    -20.308076     76.937252
pre_Employees1_composite   1525.691404   261.442003  ...   1012.204816   2039.177992
FormalReg                 -1350.716647  1081.300050  ...  -3474.449894    773.016600
pre_Profits3_composite_w1     0.545287     0.115031  ...      0.319361      0.771214
Ind2_SIC15                   33.203563  5898.810340  ... -11552.386987  11618.794112
Ind2_SIC17                -5938.287126  3457.725974  ... -12729.452643    852.878391
Ind2_SIC23                -1465.339340  2307.545341  ...  -5997.486324   3066.807645
Ind2_SIC25                 3682.916920  7283.018456  ... -10621.335113  17987.168954
Ind2_SIC34                -4144.245880  2735.645218  ...  -9517.204759   1228.712998
Ind2_SIC41                  176.455626  3887.797227  ...  -7459.393676   7812.304928
Ind2_SIC54                  -39.942985  2326.616440  ...  -4609.546665   4529.660696
Ind2_SIC56                -1677.597771  2253.218197  ...  -6103.043232   2747.847690
Ind2_SIC57                 4798.244100  3851.110166  ...  -2765.549779  12362.037978
Ind2_SIC58                -3023.986689  2487.983282  ...  -7910.523793   1862.550415
Ind2_SIC59                  830.145755  2646.690531  ...  -4368.101185   6028.392695
Ind2_SIC72                -2437.941854  2044.254435  ...  -6452.970901   1577.087194
Ind2_SIC73                -5377.423370  2432.334087  ... -10154.662371   -600.184369
Ind2_SIC75                 2429.545235  4246.701473  ...  -5911.211905  10770.302374
Ind2_SIC76                -2669.746564  2227.589679  ...  -7044.856196   1705.363067
Ind2_SIC83                -5397.108868  2823.022903  ... -10941.682363    147.464626

[30 rows x 6 columns]
