Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 50pct
Method: Iter
Iteration: 1
---
FocalIV: Treatment_FIN
Coef: 2247.990809
SE: 1051.319175
pval: 0.032912
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -3568.852410  6078.469811  ... -15507.304122   8369.599302
Treatment_FIN              2247.990809  1051.319175  ...    183.141662   4312.839956
Treatment_MKT              3527.134673  1194.302200  ...   1181.458936   5872.810409
Gender                    -1533.438487  1094.615642  ...  -3683.324295    616.447321
Age                         -29.891331    66.893628  ...   -161.274125    101.491463
Children_total              162.683083   348.637497  ...   -522.060291    847.426457
Race_SAblackcolored        3118.643303  5078.085605  ...  -6854.998365  13092.284970
Race_Foreigner             1447.003618  5011.722285  ...  -8396.296809  11290.304045
Educ_high                  2528.674468  1059.562473  ...    447.635026   4609.713910
Operating_yearstotal        166.269883    79.440382  ...     10.244569    322.295197
Activity_Hours                1.786172    21.940999  ...    -41.307165     44.879510
pre_Employees1_composite   1521.535020   259.669098  ...   1011.530514   2031.539525
FormalReg                 -1302.345537  1076.301390  ...  -3416.261139    811.570066
pre_Profits3_composite_w1     0.545180     0.114888  ...      0.319534      0.770826
Ind2_SIC15                  141.034871  5941.688128  ... -11528.770033  11810.839774
Ind2_SIC17                -5974.418572  3450.956437  ... -12752.288342    803.451197
Ind2_SIC23                -1364.443892  2304.284236  ...  -5890.185887   3161.298102
Ind2_SIC25                 3856.489610  7567.559930  ... -11006.617653  18719.596873
Ind2_SIC34                -4086.809048  2772.127087  ...  -9531.420339   1357.802242
Ind2_SIC41                    0.584592  4009.069898  ...  -7873.450959   7874.620143
Ind2_SIC54                  232.942264  2393.138778  ...  -4467.314977   4933.199506
Ind2_SIC56                -1625.100811  2247.194162  ...  -6038.714734   2788.513111
Ind2_SIC57                 4951.590061  3838.107786  ...  -2586.666423  12489.846544
Ind2_SIC58                -2651.502101  2450.992633  ...  -7465.387520   2162.383319
Ind2_SIC59                  687.075720  2682.793714  ...  -4582.079873   5956.231313
Ind2_SIC72                -2090.911527  1971.592057  ...  -5963.227636   1781.404582
Ind2_SIC73                -5157.534496  2397.390945  ...  -9866.143228   -448.925763
Ind2_SIC75                 2894.837552  4036.724690  ...  -5033.513543  10823.188646
Ind2_SIC76                -2478.606322  2248.205731  ...  -6894.207024   1936.994379
Ind2_SIC83                -5474.876725  2832.606119  ... -11038.272188     88.518739

[30 rows x 6 columns]
