Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 50pct
Method: Mean
Iteration: 25
---
FocalIV: Treatment_FIN
Coef: 2358.017731
SE: 1062.305128
pval: 0.026823
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2474.762415  6067.793956  ... -14392.246157   9442.721326
Treatment_FIN              2358.017731  1062.305128  ...    271.591563   4444.443900
Treatment_MKT              3501.778812  1190.103260  ...   1164.350027   5839.207598
Gender                    -1555.118259  1119.221388  ...  -3753.331117    643.094599
Age                          -6.971935    65.857485  ...   -136.319687    122.375817
Children_total              214.015509   361.513364  ...   -496.016781    924.047798
Race_SAblackcolored        2714.242973  5181.916274  ...  -7463.327886  12891.813832
Race_Foreigner             1240.242783  5141.136341  ...  -8857.234025  11337.719592
Educ_high                  2430.322139  1054.638032  ...    358.954573   4501.689705
Operating_yearstotal        102.387408    87.616519  ...    -69.696293    274.471110
Activity_Hours              -31.424969    22.622551  ...    -75.856915     13.006976
pre_Employees1_composite   1525.971114   258.843307  ...   1017.588508   2034.353721
FormalReg                 -1165.407558  1091.293534  ...  -3308.768562    977.953445
pre_Profits3_composite_w1     0.551962     0.115061  ...      0.325975      0.777949
Ind2_SIC15                   96.769915  5951.019534  ... -11591.362387  11784.902217
Ind2_SIC17                -6092.706213  3484.866251  ... -12937.176738    751.764312
Ind2_SIC23                 -814.881103  2259.560912  ...  -5252.784009   3623.021803
Ind2_SIC25                 4017.691430  7325.816426  ... -10370.618189  18406.001050
Ind2_SIC34                -3928.702760  2720.866659  ...  -9272.635727   1415.230208
Ind2_SIC41                  -29.345764  3871.924979  ...  -7634.021091   7575.329563
Ind2_SIC54                  898.405357  2196.256201  ...  -3415.163585   5211.974300
Ind2_SIC56                -1351.782272  2206.264552  ...  -5685.008171   2981.443628
Ind2_SIC57                 5258.231825  3767.472690  ...  -2141.293414  12657.757065
Ind2_SIC58                -2299.727959  2363.486359  ...  -6941.746205   2342.290287
Ind2_SIC59                 1018.308827  2618.152847  ...  -4123.888521   6160.506174
Ind2_SIC72                -1348.525217  1877.367062  ...  -5035.778212   2338.727778
Ind2_SIC73                -4925.613570  2362.101346  ...  -9564.911574   -286.315566
Ind2_SIC75                 3502.515190  4069.686864  ...  -4490.575442  11495.605822
Ind2_SIC76                -2100.008755  2130.813606  ...  -6285.044813   2085.027304
Ind2_SIC83                -5362.948921  2827.430214  ... -10916.178619    190.280777

[30 rows x 6 columns]
