Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 5pct
Method: DL
Iteration: 23
---
FocalIV: Treatment_FIN
Coef: 2236.006796
SE: 1052.225038
pval: 0.034006
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -809.916169  5707.615188  ... -12019.988840  10400.156503
Treatment_FIN              2236.006796  1052.225038  ...    169.378484   4302.635107
Treatment_MKT              3539.698427  1193.294292  ...   1196.002280   5883.394575
Gender                    -1576.432998  1114.935235  ...  -3766.227615    613.361619
Age                         -46.162654    66.408965  ...   -176.593542     84.268234
Children_total              215.453070   360.032281  ...   -491.670290    922.576431
Race_SAblackcolored        2578.787411  4911.040287  ...  -7066.767991  12224.342814
Race_Foreigner             1133.309837  4879.553520  ...  -8450.403809  10717.023482
Educ_high                  2515.030725  1049.918562  ...    452.932460   4577.128991
Operating_yearstotal        186.283006    79.461053  ...     30.217093    342.348919
Activity_Hours              -35.367784    22.656244  ...    -79.865904      9.130336
pre_Employees1_composite   1515.603295   258.902159  ...   1007.105101   2024.101490
FormalReg                 -1279.129954  1063.703591  ...  -3368.302780    810.042872
pre_Profits3_composite_w1     0.544972     0.114717  ...      0.319662      0.770283
Ind2_SIC15                  295.822555  5948.802185  ... -11387.954749  11979.599860
Ind2_SIC17                -6128.599360  3475.857416  ... -12955.376033    698.177313
Ind2_SIC23                -1219.956526  2290.434287  ...  -5718.496453   3278.583400
Ind2_SIC25                 4106.577619  7423.238852  ... -10473.075045  18686.230283
Ind2_SIC34                -3922.550420  2729.820647  ...  -9284.069517   1438.968677
Ind2_SIC41                  224.845829  3853.493907  ...  -7343.629850   7793.321508
Ind2_SIC54                  717.255413  2184.694652  ...  -3573.606006   5008.116833
Ind2_SIC56                -1489.054662  2197.771618  ...  -5805.599969   2827.490646
Ind2_SIC57                 5062.615519  3846.714590  ...  -2492.545207  12617.776244
Ind2_SIC58                -2267.583719  2324.864483  ...  -6833.746459   2298.579021
Ind2_SIC59                  803.758311  2640.543617  ...  -4382.415750   5989.932371
Ind2_SIC72                -1837.009682  1908.313138  ...  -5585.042485   1911.023122
Ind2_SIC73                -4993.819791  2341.298141  ...  -9592.259146   -395.380435
Ind2_SIC75                 3313.542396  3939.096685  ...  -4423.061885  11050.146676
Ind2_SIC76                -2268.620823  2159.473966  ...  -6509.947417   1972.705771
Ind2_SIC83                -5467.912694  2813.213545  ... -10993.220067     57.394680

[30 rows x 6 columns]
