Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 13
---
FocalIV: Treatment_FIN
Coef: 2140.924394
SE: 1078.271999
pval: 0.047583
Nobs: 581
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1126.255172  5888.638276  ... -12693.181845  10440.671502
Treatment_FIN              2140.924394  1078.271999  ...     22.897686   4258.951103
Treatment_MKT              3586.161114  1235.127559  ...   1160.026373   6012.295856
Gender                    -1632.935920  1163.302583  ...  -3917.986394    652.114553
Age                         -33.508387    67.158636  ...   -165.426665     98.409891
Children_total              223.839260   379.227779  ...   -521.069785    968.748305
Race_SAblackcolored        2727.109740  5038.626597  ...  -7170.157107  12624.376588
Race_Foreigner             1264.390633  4997.362209  ...  -8551.821455  11080.602720
Educ_high                  2751.672987  1103.944063  ...    583.219190   4920.126785
Operating_yearstotal        183.836999    80.530045  ...     25.653549    342.020449
Activity_Hours              -41.515759    23.480953  ...    -87.638895      4.607377
pre_Employees1_composite   1531.368498   261.470089  ...   1017.768374   2044.968622
FormalReg                 -1401.033255  1146.774221  ...  -3653.617418    851.550908
pre_Profits3_composite_w1     0.565524     0.124478  ...      0.321016      0.810033
Ind2_SIC15                  -75.800689  6049.239087  ... -11958.192112  11806.590734
Ind2_SIC17                -7574.775780  3664.799617  ... -14773.463566   -376.087994
Ind2_SIC23                -1670.257436  2393.786771  ...  -6372.321776   3031.806905
Ind2_SIC25                 3833.947665  7402.157379  ... -10705.952329  18373.847658
Ind2_SIC34                -2672.076531  2401.105815  ...  -7388.517512   2044.364451
Ind2_SIC41                 1214.795258  4338.690805  ...  -7307.602628   9737.193144
Ind2_SIC54                  837.099209  2261.395206  ...  -3604.911201   5279.109619
Ind2_SIC56                -1701.495829  2301.872329  ...  -6223.014591   2820.022932
Ind2_SIC57                 4913.490319  3795.888905  ...  -2542.693363  12369.674002
Ind2_SIC58                -2353.550539  2431.763472  ...  -7130.211704   2423.110626
Ind2_SIC59                  526.207065  2754.893077  ...  -4885.170696   5937.584826
Ind2_SIC72                -1906.011603  1982.553322  ...  -5800.298843   1988.275638
Ind2_SIC73                -5454.274217  2471.443158  ... -10308.877344   -599.671090
Ind2_SIC75                 3186.780337  3895.607919  ...  -4465.279279  10838.839953
Ind2_SIC76                -2483.277612  2226.998136  ...  -6857.722592   1891.167368
Ind2_SIC83                -5732.150771  2940.186260  ... -11507.495982     43.194441

[30 rows x 6 columns]
