Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 16
---
FocalIV: Treatment_FIN
Coef: 1956.219042
SE: 964.611771
pval: 0.043042
Nobs: 581
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                   921.612122  6451.428719  ... -11750.791824  13594.016068
Treatment_FIN              1956.219042   964.611771  ...     61.452697   3850.985386
Treatment_MKT              3334.470202  1183.779770  ...   1009.196827   5659.743578
Gender                    -1168.420719  1100.886422  ...  -3330.868457    994.027020
Age                         -72.458984    65.902845  ...   -201.910537     56.992570
Children_total              198.453041   307.417059  ...   -405.399738    802.305820
Race_SAblackcolored        1355.194892  5596.182337  ...  -9637.266812  12347.656597
Race_Foreigner              447.405232  5584.246958  ... -10521.612062  11416.422525
Educ_high                  1554.602201  1012.984076  ...   -435.180831   3544.385233
Operating_yearstotal        132.508114    68.286007  ...     -1.624634    266.640861
Activity_Hours              -25.669511    23.022334  ...    -70.891790     19.552768
pre_Employees1_composite   1512.854788   265.613645  ...    991.115566   2034.594010
FormalReg                 -1505.143176  1124.932000  ...  -3714.823130    704.536779
pre_Profits3_composite_w1     0.543456     0.120319  ...      0.307116      0.779795
Ind2_SIC15                -1781.734588  5059.691328  ... -11720.378437   8156.909260
Ind2_SIC17                -7175.955337  2999.075920  ... -13066.976255  -1284.934420
Ind2_SIC23                 -180.743146  2157.647953  ...  -4418.965039   4057.478747
Ind2_SIC25                 7598.098292  7615.781145  ...  -7361.418312  22557.614896
Ind2_SIC34                -2938.816044  2621.218777  ...  -8087.620227   2209.988138
Ind2_SIC41                 1169.253090  3753.447277  ...  -6203.563406   8542.069587
Ind2_SIC54                 1372.319453  2059.875362  ...  -2673.849823   5418.488728
Ind2_SIC56                 -604.153514  2131.395871  ...  -4790.809002   3582.501974
Ind2_SIC57                 3418.680535  2544.272470  ...  -1578.979657   8416.340728
Ind2_SIC58                -1613.158733  2286.120161  ...  -6103.735845   2877.418379
Ind2_SIC59                 1746.511158  2577.253829  ...  -3315.933615   6808.955931
Ind2_SIC72                -1406.992214  1798.033354  ...  -4938.830812   2124.846385
Ind2_SIC73                -4104.387296  2219.009247  ...  -8463.139871    254.365280
Ind2_SIC75                 4189.380580  3983.276638  ...  -3634.884832  12013.645991
Ind2_SIC76                -1346.849690  2036.205719  ...  -5346.525190   2652.825811
Ind2_SIC83                -4156.277255  2806.263916  ...  -9668.561660   1356.007150

[30 rows x 6 columns]
