Paper: 0025
KeyVar: Activity_Hours
Mechanism: NMAR
Proportion: 1pct
Method: LD
Iteration: 15
---
FocalIV: Treatment_FIN
Coef: 2255.751127
SE: 1062.770026
pval: 0.034221
Nobs: 605
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -5754.316717  5625.395438  ... -16803.145906   5294.512472
Treatment_FIN              2255.751127  1062.770026  ...    168.366405   4343.135848
Treatment_MKT              3371.522232  1201.502924  ...   1011.652473   5731.391991
Gender                    -1576.790545  1116.598905  ...  -3769.900471    616.319382
Age                         -21.863179    64.349691  ...   -148.252293    104.525935
Children_total              171.754922   364.666466  ...   -544.485837    887.995681
Race_SAblackcolored        6839.766308  4956.946417  ...  -2896.163345  16575.695961
Race_Foreigner             5330.843155  4939.572683  ...  -4370.962779  15032.649089
Educ_high                  2626.422743  1074.541738  ...    515.917225   4736.928262
Operating_yearstotal        168.484444    77.918454  ...     15.444948    321.523941
Activity_Hours              -35.984758    23.694982  ...    -82.524030     10.554515
pre_Employees1_composite   1566.500456   251.759548  ...   1072.019976   2060.980937
FormalReg                 -1453.701813  1077.611302  ...  -3570.236258    662.832632
pre_Profits3_composite_w1     0.535294     0.114634  ...      0.310142      0.760446
Ind2_SIC15                   93.977115  5922.843967  ... -11539.070202  11727.024432
Ind2_SIC17                -6131.809822  3466.150872  ... -12939.670593    676.050949
Ind2_SIC23                -1060.181131  2280.027987  ...  -5538.380051   3418.017789
Ind2_SIC25                 4137.581743  7401.734609  ... -10400.152057  18675.315543
Ind2_SIC34                -3929.839085  2739.884877  ...  -9311.242105   1451.563936
Ind2_SIC41                  213.198989  3883.043238  ...  -7413.479338   7839.877316
Ind2_SIC54                  658.384628  2212.384079  ...  -3686.955012   5003.724267
Ind2_SIC56                -1419.618383  2237.125374  ...  -5813.552357   2974.315590
Ind2_SIC57                 5120.736954  3860.731796  ...  -2462.119510  12703.593418
Ind2_SIC58                -2279.119347  2360.401555  ...  -6915.179849   2356.941155
Ind2_SIC59                  638.938015  2655.837789  ...  -4577.388269   5855.264299
Ind2_SIC72                -1726.801017  1941.378243  ...  -5539.858577   2086.256543
Ind2_SIC73                -5568.727421  2328.848582  ... -10142.814785   -994.640057
Ind2_SIC75                 3267.072951  3975.346741  ...  -4540.898522  11075.044424
Ind2_SIC76                -2276.851184  2173.073254  ...  -6544.980503   1991.278135
Ind2_SIC83                -5730.078746  2825.520225  ... -11279.678002   -180.479491

[30 rows x 6 columns]
