Paper: 0025
KeyVar: Age
Mechanism: NMAR
Proportion: 20pct
Method: LD
Iteration: 7
---
FocalIV: Treatment_FIN
Coef: 2481.529591
SE: 1102.490948
pval: 0.024868
Nobs: 489
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  1337.874951  8558.204965  ... -15480.245207  18155.995108
Treatment_FIN              2481.529591  1102.490948  ...    314.974186   4648.084997
Treatment_MKT              4191.381821  1425.973389  ...   1389.136269   6993.627373
Gender                    -1497.402261  1210.620089  ...  -3876.447190    881.642667
Age                         -91.139095   109.126773  ...   -305.589111    123.310920
Children_total              337.883796   386.264370  ...   -421.181990   1096.949582
Race_SAblackcolored        1239.816483  7962.961436  ... -14408.563379  16888.196345
Race_Foreigner               31.893638  7919.906573  ... -15531.877144  15595.664420
Educ_high                  2083.350917  1225.369172  ...   -324.678109   4491.379944
Operating_yearstotal        160.297680   107.006652  ...    -49.985987    370.581348
Activity_Hours              -27.382733    24.773836  ...    -76.066931     21.301465
pre_Employees1_composite   1556.753982   255.169932  ...   1055.307872   2058.200091
FormalReg                 -1548.184639  1440.099188  ...  -4378.189446   1281.820168
pre_Profits3_composite_w1     0.522252     0.125918  ...      0.274805      0.769699
Ind2_SIC15                 -440.662447  6568.057618  ... -13347.852993  12466.528099
Ind2_SIC17                -4753.935386  3829.441816  ... -12279.346714   2771.475942
Ind2_SIC23                 -435.082916  2532.118804  ...  -5411.065434   4540.899603
Ind2_SIC25                 6020.822794  9197.403560  ... -12053.415769  24095.061357
Ind2_SIC34                -3607.931151  3029.631519  ...  -9561.598669   2345.736367
Ind2_SIC41                 -429.752909  3461.660995  ...  -7232.421319   6372.915501
Ind2_SIC54                   -0.082293  2464.749197  ...  -4843.673715   4843.509129
Ind2_SIC56                 -711.688635  2483.319718  ...  -5591.773837   4168.396566
Ind2_SIC57                 4646.588332  4146.282496  ...  -3501.461114  12794.637778
Ind2_SIC58                -1757.883599  2732.288714  ...  -7127.229166   3611.461969
Ind2_SIC59                 1265.083044  3375.854107  ...  -5368.962324   7899.128412
Ind2_SIC72                -1942.287679  2106.309559  ...  -6081.492966   2196.917609
Ind2_SIC73                -4451.530883  2535.159143  ...  -9433.488112    530.426345
Ind2_SIC75                 3721.434131  4254.996250  ...  -4640.253688  12083.121950
Ind2_SIC76                -1788.424973  2548.106350  ...  -6795.825350   3218.975403
Ind2_SIC83                -5905.990788  3436.599053  ... -12659.408829    847.427254

[30 rows x 6 columns]
