Paper: 0025
KeyVar: Activity_Hours
Mechanism: NMAR
Proportion: 50pct
Method: Reg
Iteration: 24
---
FocalIV: Treatment_FIN
Coef: 2260.334467
SE: 1048.981143
pval: 0.031589
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1052.342148  5620.441006  ... -12091.199893   9986.515596
Treatment_FIN              2260.334467  1048.981143  ...    200.077345   4320.591590
Treatment_MKT              3689.383198  1215.949363  ...   1301.191235   6077.575161
Gender                    -1448.512711  1082.904835  ...  -3575.397845    678.372422
Age                         -31.819470    65.544743  ...   -160.552978     96.914039
Children_total              156.988288   350.183020  ...   -530.790579    844.767154
Race_SAblackcolored        2663.862092  4982.577517  ...  -7122.196396  12449.920579
Race_Foreigner             1523.035368  4989.645785  ...  -8276.905590  11322.976325
Educ_high                  2454.755534  1045.714344  ...    400.914586   4508.596482
Operating_yearstotal        180.327895    79.128253  ...     24.915618    335.740171
Activity_Hours              -53.675631    34.446284  ...   -121.330043     13.978780
pre_Employees1_composite   1526.808290   261.469981  ...   1013.266751   2040.349828
FormalReg                 -1306.763098  1075.066012  ...  -3418.252349    804.726154
pre_Profits3_composite_w1     0.543401     0.115018  ...      0.317500      0.769302
Ind2_SIC15                  592.310944  5920.459419  ... -11035.799598  12220.421487
Ind2_SIC17                -5892.265003  3444.127326  ... -12656.722019    872.192014
Ind2_SIC23                -1021.522337  2225.600628  ...  -5392.725362   3349.680687
Ind2_SIC25                 4274.186387  7436.278469  ... -10331.076809  18879.449583
Ind2_SIC34                -3538.164672  2675.786189  ...  -8793.557097   1717.227754
Ind2_SIC41                  310.624155  3894.353328  ...  -7338.101693   7959.350003
Ind2_SIC54                  661.442981  2174.621816  ...  -3609.634830   4932.520792
Ind2_SIC56                -1297.127449  2189.676911  ...  -5597.774303   3003.519405
Ind2_SIC57                 5258.121785  3810.793644  ...  -2226.488210  12742.731781
Ind2_SIC58                -2504.862256  2363.932568  ...  -7147.756881   2138.032369
Ind2_SIC59                 1203.467326  2561.228412  ...  -3826.927275   6233.861927
Ind2_SIC72                -1696.066774  1893.715441  ...  -5415.428892   2023.295344
Ind2_SIC73                -4849.015790  2329.169547  ...  -9423.633915   -274.397664
Ind2_SIC75                 3607.686074  3965.209449  ...  -4180.205123  11395.577272
Ind2_SIC76                -1888.366174  2095.029818  ...  -6003.120888   2226.388541
Ind2_SIC83                -5141.900291  2782.680154  ... -10607.238392    323.437810

[30 rows x 6 columns]
